year,state,houserep_votes_percent
1984,IOWA,46.92269006659267
1984,NEW YORK,53.02026937486368
1984,SOUTH DAKOTA,57.36507896351298
1984,IDAHO,40.69789545145961
1984,MONTANA,51.19029737634808
1984,NORTH CAROLINA,52.42396992634551
1984,CALIFORNIA,49.44864975555284
1984,OKLAHOMA,58.4942777661994
1984,PENNSYLVANIA,50.613078461551055
1984,MISSOURI,55.575348450054015
1984,DELAWARE,58.53246539222149
1984,WEST VIRGINIA,60.93524842802565
1984,OHIO,49.70704908197222
1984,TENNESSEE,55.219903008558965
1984,INDIANA,47.13695543834398
1984,ALABAMA,72.72617051121505
1984,ARKANSAS,78.98037146817161
1984,KENTUCKY,55.38998399862339
1984,MASSACHUSETTS,69.6846700969305
1984,WISCONSIN,50.00205713411692
1984,ILLINOIS,51.792616272239385
1984,OREGON,54.44160316730838
1984,KANSAS,44.52872247985532
1984,SOUTH CAROLINA,51.6072746574719
1984,CONNECTICUT,46.712446171767596
1984,HAWAII,84.8403510671261
1984,NEVADA,41.34453273253748
1984,WYOMING,24.909963007425674
1984,VERMONT,28.96561652710128
1984,TEXAS,57.624842014423805
1984,FLORIDA,51.10682902814281
1984,MINNESOTA,54.037863181509756
1984,MAINE,30.21181156587935
1984,NEBRASKA,25.79762919823067
1984,UTAH,34.95827128449901
1984,LOUISIANA,75.0
1984,NEW JERSEY,50.62910435035963
1984,RHODE ISLAND,50.079258439032664
1984,NEW HAMPSHIRE,32.217152223481456
1984,ALASKA,43.10488193393911
1984,COLORADO,35.866274148852426
1984,MARYLAND,64.05156199271795
1984,VIRGINIA,44.21088632091735
1984,NEW MEXICO,40.60824234397209
1984,GEORGIA,71.71646967928591
1984,ARIZONA,34.64827490493843
1984,MICHIGAN,54.2954382243628
1984,NORTH DAKOTA,78.69944190536036
1984,MISSISSIPPI,61.549294283324336
1984,WASHINGTON,55.49355279527307
2016,IOWA,45.32035703862898
2016,NEW YORK,66.24818681414831
2016,SOUTH DAKOTA,35.89721412103045
2016,IDAHO,31.832527081530944
2016,MONTANA,41.91504996163061
2016,NORTH CAROLINA,46.68119975067467
2016,CALIFORNIA,64.813848005462
2016,OKLAHOMA,28.081522549162123
2016,PENNSYLVANIA,45.88045265306857
2016,MISSOURI,39.41608657635049
2016,DELAWARE,57.54616796639194
2016,WEST VIRGINIA,33.52657192448907
2016,OHIO,41.831011893898506
2016,TENNESSEE,35.2776806485144
2016,INDIANA,42.18539278573976
2016,ALABAMA,33.727491676740264
2016,ARKANSAS,12.772637485919322
2016,KENTUCKY,29.28561554272868
2016,MASSACHUSETTS,83.86340296440277
2016,WISCONSIN,52.06991727273585
2016,ILLINOIS,53.9660351476544
2016,OREGON,58.41865572082413
2016,KANSAS,31.390735021618283
2016,SOUTH CAROLINA,39.46684613612807
2016,CONNECTICUT,62.15791839465971
2016,HAWAII,78.69422306048158
2016,NEVADA,50.497357925775454
2016,WYOMING,32.57872061197883
2016,TEXAS,39.3192330564036
2016,FLORIDA,45.70703363353168
2016,MINNESOTA,42.21355818459307
2016,MAINE,51.96082647693643
2016,NEBRASKA,28.39219342791019
2016,UTAH,33.393912582175645
2016,LOUISIANA,31.040769082562413
2016,NEW JERSEY,54.162475533345564
2016,RHODE ISLAND,65.10225549799243
2016,NEW HAMPSHIRE,51.567165094137195
2016,ALASKA,41.71968418718786
2016,COLORADO,49.51365553091217
2016,MARYLAND,62.97223402486561
2016,VIRGINIA,50.22169188069692
2016,NEW MEXICO,56.01290163783113
2016,GEORGIA,39.73688488441875
2016,ARIZONA,44.99672098638296
2016,MICHIGAN,49.443117586000035
2016,NORTH DAKOTA,25.568700553828926
2016,MISSISSIPPI,39.78894602133534
2016,WASHINGTON,55.273023064053724
1988,IOWA,48.88582942873007
1988,NEW YORK,56.06620727150442
1988,SOUTH DAKOTA,71.73694199720437
1988,IDAHO,49.357405826286744
1988,MONTANA,52.9403067217572
1988,NORTH CAROLINA,55.84350671370044
1988,CALIFORNIA,54.22735511349024
1988,OKLAHOMA,52.875958837598816
1988,PENNSYLVANIA,58.32554526992477
1988,MISSOURI,55.79945682254308
1988,DELAWARE,67.51664058469109
1988,WEST VIRGINIA,76.79073620376413
1988,OHIO,49.70593662861503
1988,TENNESSEE,61.14406564833525
1988,INDIANA,51.738477837768485
1988,ALABAMA,62.55890342610046
1988,ARKANSAS,58.28565109973082
1988,KENTUCKY,48.6293465459715
1988,MASSACHUSETTS,77.82331886554799
1988,WISCONSIN,50.934409307881765
1988,ILLINOIS,53.39717954696899
1988,OREGON,65.008975167887
1988,KANSAS,39.34886515425426
1988,SOUTH CAROLINA,55.56934997290543
1988,CONNECTICUT,49.38463643930459
1988,HAWAII,69.5488674523022
1988,NEVADA,52.579228282059816
1988,WYOMING,32.323861914374106
1988,VERMONT,31.420907068144484
1988,TEXAS,59.86641357089326
1988,FLORIDA,46.9688693805979
1988,MAINE,49.8182755649142
1988,NEBRASKA,35.02846241892407
1988,UTAH,43.268810121444695
1988,LOUISIANA,43.243559947659314
1988,NEW JERSEY,48.626083222805036
1988,RHODE ISLAND,35.87523082195635
1988,NEW HAMPSHIRE,41.20448925598201
1988,ALASKA,37.34543527504728
1988,COLORADO,49.17634241482294
1988,MARYLAND,60.02386955920112
1988,VIRGINIA,42.67950728312697
1988,NEW MEXICO,46.94760620560966
1988,GEORGIA,66.70073437948521
1988,ARIZONA,29.58059647439256
1988,MICHIGAN,53.1955944636545
1988,NORTH DAKOTA,71.56279245130581
1988,MISSISSIPPI,66.36059369770418
1988,WASHINGTON,57.09154762798704
