year,state,y_votes_percent,real_gdp,houserep_votes_percent
1984,IOWA,46.27617466997986,54893.2,46.92269006659267
1984,NEW YORK,47.0582821297111,512500.7,53.02026937486368
1984,SOUTH DAKOTA,36.70048675643214,12694.2,57.36507896351298
1984,IDAHO,26.724428802585013,16892.0,40.69789545145961
1984,MONTANA,38.698601236313,15022.8,51.19029737634808
1984,NORTH CAROLINA,37.97213705011314,127346.9,52.42396992634551
1984,CALIFORNIA,41.77546517780233,693094.9,49.44864975555284
1984,OKLAHOMA,30.89017415230104,66996.5,58.4942777661994
1984,PENNSYLVANIA,46.29926852287835,242571.8,50.613078461551055
1984,MISSOURI,39.975249332122964,107071.1,55.575348450054015
1984,DELAWARE,40.04632730080443,19290.3,58.53246539222149
1984,WEST VIRGINIA,44.72756567540158,28766.2,60.93524842802565
1984,OHIO,40.52931628093168,229868.1,49.70704908197222
1984,TENNESSEE,41.81815190554701,91425.7,55.219903008558965
1984,INDIANA,37.926570878316284,109229.2,47.13695543834398
1984,ALABAMA,38.736604648681734,70481.4,72.72617051121505
1984,ARKANSAS,38.77241189805592,39015.1,78.98037146817161
1984,KENTUCKY,39.635817610548024,67270.4,55.38998399862339
1984,MASSACHUSETTS,48.60166976274063,155335.2,69.6846700969305
1984,WISCONSIN,45.377984290378265,96922.1,50.00205713411692
1984,ILLINOIS,43.52674669277925,274171.0,51.792616272239385
1984,OREGON,43.89528866066264,52794.0,54.44160316730838
1984,KANSAS,32.970522888430345,53240.6,44.52872247985532
1984,SOUTH CAROLINA,35.88122058587622,57694.6,51.6072746574719
1984,CONNECTICUT,39.000831236981966,94619.0,46.712446171767596
1984,HAWAII,44.296275782350605,28978.8,84.8403510671261
1984,NEVADA,32.68431844521708,24833.3,41.34453273253748
1984,WYOMING,28.599600237928097,13027.8,24.909963007425674
1984,VERMONT,41.335089272220905,9589.7,28.96561652710128
1984,TEXAS,36.21369482698658,383084.0,57.624842014423805
1984,FLORIDA,34.66758678645452,230406.9,51.10682902814281
1984,MINNESOTA,50.09089076819495,100958.2,54.037863181509756
1984,MAINE,38.93088209939838,21917.3,30.21181156587935
1984,NEBRASKA,28.995246326707,33716.2,25.79762919823067
1984,UTAH,24.879978990318254,31158.8,34.95827128449901
1984,LOUISIANA,38.58083883745785,102250.7,75.0
1984,NEW JERSEY,39.47860891850365,196142.6,50.62910435035963
1984,RHODE ISLAND,48.170269755074706,20421.7,50.079258439032664
1984,NEW HAMPSHIRE,31.065547745594312,20557.9,32.217152223481456
1984,ALASKA,30.944087352283617,26853.7,43.10488193393911
1984,COLORADO,35.634230164349404,80299.3,35.866274148852426
1984,MARYLAND,47.24247280785537,105743.0,64.05156199271795
1984,VIRGINIA,37.32431206078015,133819.8,44.21088632091735
1984,NEW MEXICO,39.6504018708118,26158.1,40.60824234397209
1984,GEORGIA,39.802179851860195,127322.6,71.71646967928591
1984,ARIZONA,32.883272429993994,65288.2,34.64827490493843
1984,MICHIGAN,40.45367500183143,206385.2,54.2954382243628
1984,NORTH DAKOTA,34.26541761685233,13588.2,78.69944190536036
1984,MISSISSIPPI,37.68496494105839,39379.1,61.549294283324336
1984,WASHINGTON,43.15364898363371,109175.9,55.49355279527307
2016,IOWA,44.93645215487965,170389.1,45.32035703862898
2016,NEW YORK,63.41150649977537,1403230.5,66.24818681414831
2016,SOUTH DAKOTA,34.02814192056875,46076.0,35.89721412103045
2016,IDAHO,31.689823319194417,65479.0,31.832527081530944
2016,MONTANA,38.89033568297556,44436.8,41.91504996163061
2016,NORTH CAROLINA,48.096254196281286,482968.9,46.68119975067467
2016,CALIFORNIA,66.12822054272988,2427894.6,64.813848005462
2016,OKLAHOMA,30.695262761671867,193025.1,28.081522549162123
2016,PENNSYLVANIA,49.62446419250983,688359.4,45.88045265306857
2016,MISSOURI,40.18143900443393,279109.2,39.41608657635049
2016,DELAWARE,55.99862144368122,63001.3,57.54616796639194
2016,WEST VIRGINIA,27.838947748704225,70011.4,33.52657192448907
2016,OHIO,45.7323154228641,583946.4,41.831011893898506
2016,TENNESSEE,36.37565695473801,310143.2,35.2776806485144
2016,INDIANA,39.88269047549193,319601.5,42.18539278573976
2016,ALABAMA,35.625856406039254,194283.8,33.727491676740264
2016,ARKANSAS,35.714862310229535,112798.1,12.772637485919322
2016,KENTUCKY,34.32937098249014,184115.0,29.28561554272868
2016,MASSACHUSETTS,64.65127868962949,475349.0,83.86340296440277
2016,WISCONSIN,49.59201096197029,291920.3,52.06991727273585
2016,ILLINOIS,59.02005139071148,749333.5,53.9660351476544
2016,OREGON,56.155838945054356,198079.3,58.41865572082413
2016,KANSAS,38.888529657393335,153695.3,31.390735021618283
2016,SOUTH CAROLINA,42.53974363947598,198005.7,39.46684613612807
2016,CONNECTICUT,57.14154751726364,243286.7,62.15791839465971
2016,HAWAII,67.44133745053546,77303.9,78.69422306048158
2016,NEVADA,51.2937094199852,140081.2,50.497357925775454
2016,WYOMING,24.29468037084621,38188.7,32.57872061197883
2016,TEXAS,45.28677442202801,1619954.2,39.3192330564036
2016,FLORIDA,49.38116452722452,881539.2,45.70703363353168
2016,MINNESOTA,50.831693707180484,324030.3,42.21355818459307
2016,MAINE,51.59679112916253,55565.4,51.96082647693643
2016,NEBRASKA,36.45232588682243,112611.5,28.39219342791019
2016,UTAH,37.617101654588716,147962.3,33.393912582175645
2016,LOUISIANA,39.82832276219221,228428.5,31.040769082562413
2016,NEW JERSEY,57.284190142901295,535055.3,54.162475533345564
2016,RHODE ISLAND,58.31070409265981,52902.6,65.10225549799243
