start;end;approve;disapprove;neutral
1998-01-06;1998-01-07;59;32;9
1997-12-18;1997-12-21;56;36;8
1997-11-21;1997-11-23;61;30;9
1997-11-06;1997-11-09;59;31;10
1997-10-27;1997-10-29;59;32;9
1997-10-03;1997-10-05;55;36;9
1997-09-25;1997-09-28;58;33;9
1997-09-06;1997-09-07;61;28;11
1997-08-22;1997-08-25;60;34;6
1997-08-12;1997-08-13;61;32;7
1997-07-25;1997-07-27;58;34;8
1997-06-26;1997-06-29;55;36;9
1997-05-30;1997-06-01;57;35;8
1997-05-06;1997-05-07;57;35;8
1997-04-18;1997-04-20;54;37;9
1997-03-24;1997-03-26;59;35;6
1997-02-24;1997-02-26;57;33;10
1997-01-30;1997-02-02;60;31;9
1997-01-10;1997-01-13;62;31;7
1997-01-03;1997-01-05;58;35;7
1996-12-09;1996-12-11;58;34;8
1996-11-21;1996-11-24;58;35;7
1996-10-26;1996-10-29;54;36;10
1996-10-02;1996-10-03;57;36;7
1996-10-01;1996-10-02;58;34;8
1996-09-07;1996-09-09;60;31;9
1996-08-30;1996-09-01;60;33;7
1996-08-23;1996-08-25;53;39;8
1996-08-16;1996-08-18;52;39;9
1996-08-05;1996-08-07;57;36;7
1996-07-25;1996-07-28;58;35;7
1996-07-18;1996-07-21;57;35;8
1996-06-27;1996-06-30;52;42;6
1996-06-18;1996-06-19;58;37;5
1996-05-28;1996-05-29;53;38;9
1996-05-09;1996-05-12;55;39;6
1996-04-25;1996-04-28;56;37;7
1996-04-09;1996-04-10;54;40;6
1996-03-15;1996-03-17;52;39;9
1996-03-08;1996-03-10;54;37;9
1996-02-23;1996-02-25;53;40;7
1996-01-26;1996-01-29;52;42;6
1996-01-12;1996-01-15;46;47;7
1996-01-05;1996-01-07;42;49;9
1995-12-15;1995-12-18;51;44;5
1995-11-17;1995-11-18;53;38;9
1995-11-06;1995-11-08;52;41;7
1995-10-19;1995-10-22;49;40;11
1995-10-05;1995-10-07;46;42;12
1995-09-22;1995-09-24;48;44;8
1995-09-14;1995-09-17;44;44;12
1995-08-28;1995-08-30;46;43;11
1995-08-11;1995-08-14;46;44;10
1995-08-04;1995-08-07;46;42;12
1995-07-20;1995-07-23;46;44;10
1995-07-07;1995-07-09;48;42;10
1995-06-05;1995-06-06;47;42;11
1995-05-11;1995-05-14;51;42;7
1995-04-21;1995-04-24;51;39;10
1995-04-17;1995-04-19;46;45;9
1995-04-05;1995-04-06;47;45;8
1995-03-27;1995-03-29;44;47;9
1995-03-17;1995-03-19;46;45;9
1995-02-24;1995-02-26;42;48;10
1995-02-03;1995-02-05;49;44;7
1995-01-16;1995-01-18;47;45;8
1994-12-28;1994-12-30;40;52;8
1994-12-16;1994-12-18;42;53;5
1994-12-02;1994-12-05;42;50;8
1994-11-28;1994-11-29;43;49;8
1994-11-02;1994-11-06;46;46;8
1994-10-22;1994-10-25;48;46;6
1994-10-18;1994-10-19;41;52;7
1994-10-07;1994-10-09;42;52;6
1994-09-23;1994-09-25;43;51;6
1994-09-16;1994-09-18;42;50;8
1994-09-06;1994-09-07;39;54;7
1994-08-15;1994-08-16;39;52;9
1994-08-08;1994-08-09;43;48;9
1994-07-15;1994-07-17;42;49;9
1994-07-01;1994-07-03;43;48;9
1994-06-25;1994-06-28;44;47;9
1994-06-11;1994-06-12;49;44;7
1994-06-03;1994-06-06;46;47;7
1994-05-20;1994-05-22;51;42;7
1994-04-22;1994-04-24;48;44;8
1994-04-16;1994-04-18;51;41;8
1994-03-28;1994-03-30;51;42;7
1994-03-25;1994-03-27;52;41;7
1994-03-11;1994-03-13;50;41;9
1994-03-07;1994-03-08;50;42;8
1994-02-26;1994-02-28;53;41;6
1994-01-28;1994-01-30;58;35;7
1994-01-15;1994-01-17;54;38;8
1994-01-06;1994-01-08;54;38;8
1993-12-17;1993-12-19;54;40;6
1993-12-04;1993-12-06;52;38;10
1993-11-19;1993-11-21;48;43;9
1993-11-15;1993-11-16;50;43;7
1993-11-02;1993-11-04;48;45;7
1993-10-28;1993-10-30;48;45;7
1993-10-13;1993-10-18;47;44;9
1993-10-08;1993-10-10;50;42;8
1993-09-24;1993-09-26;56;36;8
1993-09-13;1993-09-15;46;43;11
1993-09-10;1993-09-12;47;42;11
1993-08-23;1993-08-25;44;47;9
1993-08-08;1993-08-10;44;48;8
1993-07-19;1993-07-21;41;49;10
1993-07-09;1993-07-11;45;48;7
1993-06-29;1993-06-30;46;47;7
1993-06-18;1993-06-21;39;50;11
1993-06-05;1993-06-06;37;49;14
1993-05-21;1993-05-23;44;46;10
1993-05-10;1993-05-12;45;44;11
1993-04-22;1993-04-24;55;37;8
1993-03-29;1993-03-31;52;37;11
1993-03-12;1993-03-14;53;34;13
1993-02-26;1993-02-28;59;29;12
1993-02-12;1993-02-14;51;34;15
1993-01-29;1993-01-31;54;30;16
1993-01-24;1993-01-26;58;20;22
