year,state,y_votes_percent
1984,IOWA,46.27617466997986
1984,NEW YORK,47.0582821297111
1984,SOUTH DAKOTA,36.70048675643214
1984,IDAHO,26.724428802585013
1984,MONTANA,38.698601236313
1984,NORTH CAROLINA,37.97213705011314
1984,CALIFORNIA,41.77546517780233
1984,OKLAHOMA,30.89017415230104
1984,PENNSYLVANIA,46.29926852287835
1984,MISSOURI,39.975249332122964
1984,DELAWARE,40.04632730080443
1984,WEST VIRGINIA,44.72756567540158
1984,OHIO,40.52931628093168
1984,TENNESSEE,41.81815190554701
1984,INDIANA,37.926570878316284
1984,ALABAMA,38.736604648681734
1984,ARKANSAS,38.77241189805592
1984,KENTUCKY,39.635817610548024
1984,MASSACHUSETTS,48.60166976274063
1984,DISTRICT OF COLUMBIA,86.14773394710076
1984,WISCONSIN,45.377984290378265
1984,ILLINOIS,43.52674669277925
1984,OREGON,43.89528866066264
1984,KANSAS,32.970522888430345
1984,SOUTH CAROLINA,35.88122058587622
1984,CONNECTICUT,39.000831236981966
1984,HAWAII,44.296275782350605
1984,NEVADA,32.68431844521708
1984,WYOMING,28.599600237928097
1984,VERMONT,41.335089272220905
1984,TEXAS,36.21369482698658
1984,FLORIDA,34.66758678645452
1984,MINNESOTA,50.09089076819495
1984,MAINE,38.93088209939838
1984,NEBRASKA,28.995246326707
1984,UTAH,24.879978990318254
1984,LOUISIANA,38.58083883745785
1984,NEW JERSEY,39.47860891850365
1984,RHODE ISLAND,48.170269755074706
1984,NEW HAMPSHIRE,31.065547745594312
1984,ALASKA,30.944087352283617
1984,COLORADO,35.634230164349404
1984,MARYLAND,47.24247280785537
1984,VIRGINIA,37.32431206078015
1984,NEW MEXICO,39.6504018708118
1984,GEORGIA,39.802179851860195
1984,ARIZONA,32.883272429993994
1984,MICHIGAN,40.45367500183143
1984,NORTH DAKOTA,34.26541761685233
1984,MISSISSIPPI,37.68496494105839
1984,WASHINGTON,43.15364898363371
2016,IOWA,44.93645215487965
2016,NEW YORK,63.41150649977537
2016,SOUTH DAKOTA,34.02814192056875
2016,IDAHO,31.689823319194417
2016,MONTANA,38.89033568297556
2016,NORTH CAROLINA,48.096254196281286
2016,CALIFORNIA,66.12822054272988
2016,OKLAHOMA,30.695262761671867
2016,PENNSYLVANIA,49.62446419250983
2016,MISSOURI,40.18143900443393
2016,DELAWARE,55.99862144368122
2016,WEST VIRGINIA,27.838947748704225
2016,OHIO,45.7323154228641
2016,TENNESSEE,36.37565695473801
2016,INDIANA,39.88269047549193
2016,ALABAMA,35.625856406039254
2016,ARKANSAS,35.714862310229535
2016,KENTUCKY,34.32937098249014
2016,MASSACHUSETTS,64.65127868962949
2016,DISTRICT OF COLUMBIA,95.69518834185408
2016,WISCONSIN,49.59201096197029
2016,ILLINOIS,59.02005139071148
2016,OREGON,56.155838945054356
2016,KANSAS,38.888529657393335
2016,SOUTH CAROLINA,42.53974363947598
2016,CONNECTICUT,57.14154751726364
2016,HAWAII,67.44133745053546
2016,NEVADA,51.2937094199852
2016,WYOMING,24.29468037084621
2016,VERMONT,65.18642632382037
2016,TEXAS,45.28677442202801
2016,FLORIDA,49.38116452722452
2016,MINNESOTA,50.831693707180484
2016,MAINE,51.59679112916253
2016,NEBRASKA,36.45232588682243
2016,UTAH,37.617101654588716
2016,LOUISIANA,39.82832276219221
2016,NEW JERSEY,57.284190142901295
2016,RHODE ISLAND,58.31070409265981
2016,NEW HAMPSHIRE,50.197028442380706
2016,ALASKA,41.61434528893193
2016,COLORADO,52.68333337268243
2016,MARYLAND,64.01099550856516
2016,VIRGINIA,52.8263762771547
2016,NEW MEXICO,54.65079493432411
2016,GEORGIA,47.338827400696786
2016,ARIZONA,48.1108795538633
2016,MICHIGAN,49.88233178303845
2016,NORTH DAKOTA,30.190757103480255
2016,MISSISSIPPI,40.91015267593994
2016,WASHINGTON,58.786931200064764
1988,IOWA,55.14848114008251
1988,NEW YORK,53.42205263918794
1988,SOUTH DAKOTA,46.8076211914141
1988,IDAHO,36.71217714936695
1988,MONTANA,47.01181027861571
1988,NORTH CAROLINA,41.84246213144999
1988,CALIFORNIA,48.19268946362411
1988,OKLAHOMA,41.61018772755833
1988,PENNSYLVANIA,48.83045300466226
1988,MISSOURI,48.00308831902278
1988,DELAWARE,43.75881040413072
1988,WEST VIRGINIA,52.376893197620575
1988,OHIO,44.525935349749254
1988,TENNESSEE,41.781359498029225
1988,INDIANA,39.87400887506799
1988,ALABAMA,40.254431601911094
1988,ARKANSAS,42.80835728688489
1988,KENTUCKY,44.14623218821146
1988,MASSACHUSETTS,53.98258893318696
1988,DISTRICT OF COLUMBIA,85.24575260565678
1988,WISCONSIN,51.82346629456104
1988,ILLINOIS,48.95072300364114
1988,OREGON,52.383680797597954
1988,KANSAS,43.27249829781352
1988,SOUTH CAROLINA,37.927854435581686
1988,CONNECTICUT,47.41884954356701
1988,HAWAII,54.80627598015892
1988,NEVADA,39.18141083541434
1988,WYOMING,38.575123577422694
1988,VERMONT,48.218286923275556
1988,TEXAS,43.65366706886273
1988,FLORIDA,38.747928354148414
1988,MINNESOTA,53.55085992524404
1988,MAINE,44.228981296531686
1988,NEBRASKA,39.4459145058286
1988,UTAH,32.612125168099276
1988,LOUISIANA,44.80870767605027
1988,NEW JERSEY,43.098842386464824
1988,RHODE ISLAND,55.87787055331063
1988,NEW HAMPSHIRE,36.76636727286612
1988,ALASKA,37.83668256574661
1988,COLORADO,46.04617561850285
1988,MARYLAND,48.53556976888299
1988,VIRGINIA,39.64105394241759
1988,NEW MEXICO,47.490084259514646
