                Quarterly Data

             Nominal    Real
              GDP       GDP    Population
 Quarter      (Y)       (X)      (POP)
           
 1911.2      35.11    671.28    93.781
 1911.3      36.64    679.15    94.120
 1911.4      37.13    683.06    94.461
 1912.1      37.88    694.12    94.804
 1912.2      39.44    704.35    95.186
 1912.3      39.75    712.82    95.606
 1912.4      40.30    721.29    96.066
 1913.1      39.68    717.32    96.565
 1913.2      39.07    713.35    97.064
 1913.3      39.81    718.69    97.563
 1913.4      39.59    709.52    98.062
 1914.1      39.07    703.51    98.562
 1914.2      39.24    704.74    99.020
 1914.3      39.47    688.68    99.435
 1914.4      37.55    657.54    99.807
 1915.1      38.63    663.16   100.137
 1915.2      39.09    665.10   100.470
 1915.3      39.97    680.84   100.804
 1915.4      42.88    712.71   101.141
 1916.1      46.31    731.48   101.481
 1916.2      47.14    729.30   101.847
 1916.3      47.84    732.46   102.239
 1916.4      51.92    733.20   102.659
 1917.1      53.20    714.79   103.104
 1917.2      60.90    740.23   103.384
 1917.3      63.17    744.94   103.497
 1917.4      64.89    772.07   103.445
 1918.1      67.24    807.70   103.226
 1918.2      75.37    873.38   103.166
 1918.3      81.82    894.72   103.264
 1918.4      81.81    858.69   103.522
 1919.1      77.97    804.79   103.937
 1919.2      81.42    801.24   104.370
 1919.3      87.29    806.61   104.821
 1919.4      90.43    806.26   105.290
 1920.1      95.98    799.52   105.776
 1920.2      95.95    759.38   106.284
 1920.3      93.84    746.56   106.814
 1920.4      80.40    705.72   107.367
 1921.1      69.78    673.60   107.941
 1921.2      68.56    691.00   108.449
 1921.3      69.35    711.34   108.891
 1921.4      70.37    734.54   109.267
 1922.1      69.65    759.24   109.577
 1922.2      72.44    796.00   109.931
 1922.3      75.49    820.25   110.330
 1922.4      79.07    851.39   110.772
 1923.1      84.71    883.86   111.258
 1923.2      87.17    905.79   111.769
 1923.3      84.68    890.46   112.305
 1923.4      84.93    891.59   112.865
 1924.1      87.30    915.98   113.449
 1924.2      82.86    887.19   113.989
 1924.3      82.00    877.99   114.484
 1924.4      87.35    922.83   114.935
 1925.1      91.08    944.20   115.341
 1925.2      91.27    955.48   115.741
 1925.3      94.41    979.97   116.135
 1925.4      96.44   1000.49   116.522
 1926.1      96.60   1009.74   116.903
 1926.2      96.15   1012.83   117.296
 1926.3      97.93   1036.72   117.699
 1926.4      97.98   1042.70   118.114
 1927.1      95.94   1038.90   118.540
 1927.2      95.44   1045.19   118.952
 1927.3      94.77   1028.89   119.349
 1927.4      93.88   1009.28   119.732
 1928.1      94.31   1017.01   120.100
 1928.2      96.18   1029.59   120.451
 1928.3      99.01   1053.24   120.783
 1928.4      99.16   1064.10   121.098
 1929.1     102.18   1085.68   121.394
 1929.2     106.22   1130.34   121.707
 1929.3     107.94   1137.51   122.034
 1929.4     102.07   1083.95   122.377
 1930.1      98.09   1056.88   122.735
 1930.2      96.79   1050.88   123.060
 1930.3      89.78    999.50   123.350
 1930.4      84.11    953.18   123.607
 1931.1      82.02    968.76   123.829
 1931.2      81.08    985.67   124.046
 1931.3      76.25    946.98   124.257
 1931.4      70.25    898.37   124.463
 1932.1      65.12    875.31   124.662
 1932.2      60.01    832.56   124.857
 1932.3      57.21    803.51   125.046
 1932.4      55.67    798.63   125.231
 1933.1      50.99    759.35   125.410
 1933.2      55.45    814.10   125.594
 1933.3      63.05    878.82   125.782
 1933.4      59.53    817.01   125.974
 1934.1      64.35    887.42   126.171
 1934.2      68.79    938.29   126.375
 1934.3      67.03    898.40   126.587
 1934.4      67.02    898.29   126.807
 1935.1      72.01    956.89   127.034
 1935.2      72.27    960.03   127.256
 1935.3      74.12    986.58   127.473
 1935.4      78.37   1041.35   127.684
 1936.1      78.68   1039.32   127.891
 1936.2      83.11   1104.48   128.089
 1936.3      86.77   1136.09   128.280
 1936.4      90.64   1173.72   128.464
 1937.1      92.70   1171.69   128.640
 1937.2      95.92   1201.42   128.839
 1937.3      96.12   1196.90   129.060
 1937.4      87.28   1111.06   129.304
 1938.1      83.32   1075.43   129.571
 1938.2      84.22   1092.43   129.836
 1938.3      89.43   1156.27   130.102
 1938.4      92.62   1202.52   130.367
 1939.1      90.97   1193.76   130.632
 1939.2      89.09   1176.37   130.896
 1939.3      92.80   1220.44   131.160
 1939.4     100.79   1299.33   131.423
 1940.1      98.22   1276.02   131.686
 1940.2      99.59   1293.49   131.966
 1940.3     103.81   1346.29   132.262
 1940.4     109.98   1405.12   132.574
