year,state,def_mt_2,def_mt_1
1984,ALABAMA,8.923984688207565,16.40054090781158
1984,ALASKA,0.2195130456787986,29.78869046132968
1984,ARIZONA,10.086237765459405,15.926490694822126
1984,ARKANSAS,8.706948666118318,15.102902640608296
1984,CALIFORNIA,9.42760813390322,16.21236988282726
1984,COLORADO,10.153456329632826,16.769524503313214
1984,CONNECTICUT,10.556313644963566,17.31096314010585
1984,DELAWARE,8.301737510893314,16.541798143606677
1984,FLORIDA,11.160827846441457,16.285190681203755
1984,GEORGIA,10.58217834532833,15.044445346224823
1984,HAWAII,12.691249758739186,17.16967480431095
1984,IDAHO,10.30074502434919,11.821331144213755
1984,ILLINOIS,9.140619667910578,15.664289254944496
1984,INDIANA,8.674868807641944,15.381448319216773
1984,IOWA,9.359037278854831,12.07833548330919
1984,KANSAS,9.171244942751343,16.02290470849299
1984,KENTUCKY,8.601854627697225,15.047122514463386
1984,LOUISIANA,1.0485080882245867,23.62250752004438
1984,MAINE,10.02296362280035,15.883921423394586
1984,MARYLAND,10.874840553492282,17.357830637053382
1984,MASSACHUSETTS,9.784081425079583,16.840298084367443
1984,MICHIGAN,7.988279021458045,18.012022098194592
1984,MINNESOTA,8.787653184083233,13.062607196371111
1984,MISSISSIPPI,7.0269597063498335,15.082211206570161
1984,MISSOURI,9.566681858788328,15.781896817449148
1984,MONTANA,7.1039034172524,15.144944002032945
1984,NEBRASKA,10.396247513742928,12.712628268750347
1984,NEVADA,10.127837338492096,15.873504442015584
1984,NEW HAMPSHIRE,8.59687611650033,15.94144906352739
1984,NEW JERSEY,9.318795033562633,16.391906205569672
1984,NEW MEXICO,4.317180687948063,22.607095269470314
1984,NEW YORK,11.07660681224074,16.702464272844566
1984,NORTH CAROLINA,12.018932035120788,15.746513142676012
1984,NORTH DAKOTA,6.573244750894691,17.676026657140696
1984,OHIO,7.596108599335993,15.714715707886008
1984,OKLAHOMA,4.276030856039115,20.39759782080164
1984,OREGON,10.394285619517142,14.233944734804972
1984,PENNSYLVANIA,8.704940651001003,15.654259019969219
1984,RHODE ISLAND,9.786477775891122,16.167745209507125
1984,SOUTH CAROLINA,9.168517113403784,15.281303760517218
1984,SOUTH DAKOTA,11.323405145182907,10.787396705884177
1984,TENNESSEE,8.672561622807295,15.15746362828365
1984,TEXAS,5.030975897070444,20.034194513695702
1984,UTAH,8.195305698841416,16.392420551508092
1984,VERMONT,9.662012864267865,15.318226779460907
1984,VIRGINIA,12.369821387417069,17.658678149682583
1984,WASHINGTON,11.891477512410953,15.851841515836762
1984,WEST VIRGINIA,5.479425667591298,16.038012585801354
1984,WISCONSIN,8.850589858045076,14.480987646028298
1984,WYOMING,-1.4478985920505782,22.952661300758347
1988,ALABAMA,6.259963652513867,6.107722368733026
1988,ALASKA,-0.6038256230535111,-13.237734106269738
1988,ARIZONA,6.499790915562698,7.524765725235594
1988,ARKANSAS,5.8053342480397285,5.069603341033768
1988,CALIFORNIA,6.31746101245505,7.041100774173015
1988,COLORADO,5.911134564157772,6.381500463838585
1988,CONNECTICUT,5.488222488446781,7.427982833755364
1988,DELAWARE,6.632989690129398,8.554350704221703
1988,FLORIDA,7.004144125439815,8.223145425767807
1988,GEORGIA,6.711751902422058,7.394031848917093
1988,HAWAII,7.016284913106374,9.665251751441662
1988,IDAHO,7.104161312565593,4.759448993118731
1988,ILLINOIS,5.768069083643779,7.018496447301881
1988,INDIANA,5.629010967926273,5.861155277926211
1988,IOWA,5.511236614308013,4.0552229186248345
1988,KANSAS,5.319942035124514,4.35875566678483
1988,KENTUCKY,5.124341901162532,6.151145103366074
1988,LOUISIANA,3.6345286630563134,-8.13042914856692
1988,MAINE,7.372610492006992,7.091839152433699
1988,MARYLAND,7.413058584067866,8.213053925862823
1988,MASSACHUSETTS,5.769902902773927,7.510495712984899
1988,MICHIGAN,4.890929127203991,7.28252074568394
1988,MINNESOTA,6.03462723398156,6.239537442309451
1988,MISSISSIPPI,5.098564505497327,4.673439602921814
1988,MISSOURI,5.888020437470809,7.208164854810795
1988,MONTANA,6.778768788555478,3.1568582767617093
1988,NEBRASKA,6.0377246975166,4.053117415019725
1988,NEVADA,9.258292984465433,8.48343263048168
1988,NEW HAMPSHIRE,5.52914114329397,6.850180151282559
1988,NEW JERSEY,6.821743051941254,7.913799592248738
1988,NEW MEXICO,5.284055215023931,-0.821501448209172
1988,NEW YORK,6.130575444666109,9.105738291934573
1988,NORTH CAROLINA,7.071392118755537,7.63897729746017
1988,NORTH DAKOTA,5.709813168769551,-2.068017363561958
1988,OHIO,5.215829015125051,6.628470011209542
1988,OKLAHOMA,4.325082926895107,-0.8989492934886711
1988,OREGON,7.208663136155025,6.696011171645444
1988,PENNSYLVANIA,6.425127789910379,7.279794602261114
1988,RHODE ISLAND,6.349942980387557,7.585022940130015
1988,SOUTH CAROLINA,6.37343537402022,6.793811493147572
1988,SOUTH DAKOTA,7.859011719971565,4.146961834077922
1988,TENNESSEE,6.347994816216396,6.901208376039358
1988,TEXAS,4.854277914270422,0.30084082926571387
1988,UTAH,6.1664687682353225,5.222984214655435
1988,VERMONT,6.2972954402155334,7.20334934068001
1988,VIRGINIA,7.03753498361972,8.406030519613061
1988,WASHINGTON,6.371399978398262,7.359741681598453
1988,WEST VIRGINIA,5.064076996523803,3.5298775615927536
1988,WISCONSIN,5.452301392159953,5.819259792024334
1988,WYOMING,0.7011048005033826,-10.33902920617985
1992,ALABAMA,5.835161002211131,6.857243305373895
1992,ALASKA,-0.022570224165530117,13.92114458576792
