year,state,avg_inc
1973,ALABAMA,1.3074189922942514
1973,ALASKA,1.4286097440037837
1973,ARIZONA,1.041957428864837
1973,ARKANSAS,1.8316382655657382
1973,CALIFORNIA,0.926445453632696
1973,COLORADO,1.1354497494496574
1973,CONNECTICUT,0.9890015662506135
1973,DELAWARE,1.0853874131138808
1973,DISTRICT OF COLUMBIA,0.7518239854039654
1973,FLORIDA,1.1777371007608117
1973,GEORGIA,1.226793239790891
1973,HAWAII,0.8463502617880092
1973,IDAHO,1.443107507196606
1973,ILLINOIS,1.2720470946862905
1973,INDIANA,1.5635154689146669
1973,IOWA,2.1536715963483166
1973,KANSAS,1.4966807317357222
1973,KENTUCKY,1.2887065471236303
1973,LOUISIANA,1.2501530537383232
1973,MAINE,1.2720973722895046
1973,MARYLAND,1.054487635523671
1973,MASSACHUSETTS,0.9259007013527221
1973,MICHIGAN,1.2313684989883944
1973,MINNESOTA,1.8231965295379737
1973,MISSISSIPPI,1.4296794947767921
1973,MISSOURI,1.1944256604782488
1973,MONTANA,1.6231108063299526
1973,NEBRASKA,1.7441566455625113
1973,NEVADA,1.0076008742285092
1973,NEW HAMPSHIRE,1.1131081167474743
1973,NEW JERSEY,0.9848885131198193
1973,NEW MEXICO,1.0882884476836718
1973,NEW YORK,0.8355553408665894
1973,NORTH CAROLINA,1.319840785242432
1973,NORTH DAKOTA,3.948623981120214
1973,OHIO,1.2043240743361938
1973,OKLAHOMA,1.3466723961592653
1973,OREGON,1.1788533340409746
1973,PENNSYLVANIA,1.1047005198900006
1973,RHODE ISLAND,0.7598086515489433
1973,SOUTH CAROLINA,1.277586272023079
1973,SOUTH DAKOTA,2.7669667046473556
1973,TENNESSEE,1.3959366452970468
1973,TEXAS,1.2561555316281448
1973,UTAH,0.9407727925911935
1973,VERMONT,0.9804133060713038
1973,VIRGINIA,1.1423741544803967
1973,WASHINGTON,1.2946670468093835
1973,WEST VIRGINIA,1.0400832939541749
1973,WISCONSIN,1.2579724101134282
1973,WYOMING,1.6182846062935186
1974,ALABAMA,1.0930662675696867
1974,ALASKA,1.787862918459937
1974,ARIZONA,0.878229631634464
1974,ARKANSAS,1.0850571782814455
1974,CALIFORNIA,1.085706869785441
1974,COLORADO,1.1144487542411596
1974,CONNECTICUT,0.9702806110322593
1974,DELAWARE,0.8291037191622275
1974,DISTRICT OF COLUMBIA,1.1193691604491018
1974,FLORIDA,0.8080598234704084
1974,GEORGIA,0.8888797365847578
1974,HAWAII,1.244548009126123
1974,IDAHO,1.5364791224395713
1974,ILLINOIS,1.0124888499369433
1974,INDIANA,0.7416829655262802
1974,IOWA,0.39908694108732323
1974,KANSAS,0.8904840892695942
1974,KENTUCKY,1.2653159563056349
1974,LOUISIANA,1.4413559689061772
1974,MAINE,1.0974938649850108
1974,MARYLAND,0.9359308135177047
1974,MASSACHUSETTS,0.9052972688391003
1974,MICHIGAN,0.7362346353025906
1974,MINNESOTA,0.8210458791391595
1974,MISSISSIPPI,0.9990765355240905
1974,MISSOURI,0.7671143257625079
1974,MONTANA,0.8161938861225071
1974,NEBRASKA,0.3996710476295906
1974,NEVADA,0.6349092930755029
1974,NEW HAMPSHIRE,0.9047932804070236
1974,NEW JERSEY,0.9487064297229564
1974,NEW MEXICO,1.1229396569256478
1974,NEW YORK,0.9358289190087854
1974,NORTH CAROLINA,0.9902068904418693
1974,NORTH DAKOTA,-0.14214466841719897
1974,OHIO,1.0615783018209202
1974,OKLAHOMA,1.0984488298765527
1974,OREGON,1.2489142252844587
1974,PENNSYLVANIA,1.1177012429769428
1974,RHODE ISLAND,0.8505585672684557
1974,SOUTH CAROLINA,1.1953961344087771
1974,SOUTH DAKOTA,0.006584928969721737
1974,TENNESSEE,1.0262748077076056
1974,TEXAS,1.1754273873618937
1974,UTAH,1.0316568069409948
1974,VERMONT,0.8216845707371023
1974,VIRGINIA,1.0254978754618893
1974,WASHINGTON,1.2325836946768032
1974,WEST VIRGINIA,1.1814380033032812
1974,WISCONSIN,1.0481120159398172
1974,WYOMING,1.456985913154174
1975,ALABAMA,1.117545172428036
1975,ALASKA,2.6255357504307852
1975,ARIZONA,0.5693423902758399
1975,ARKANSAS,0.816044435864649
1975,CALIFORNIA,0.9516910408946533
1975,COLORADO,0.9454353943026073
1975,CONNECTICUT,0.7756394552496548
1975,DELAWARE,0.7187422719339809
1975,DISTRICT OF COLUMBIA,1.0977951280889853
1975,FLORIDA,0.6816583225084827
1975,GEORGIA,0.7582835425830936
1975,HAWAII,0.7254986239149996
1975,IDAHO,0.5770234894801662
1975,ILLINOIS,0.9583813389950624
1975,INDIANA,0.888699407603033
1975,IOWA,1.2330577048228486
1975,KANSAS,0.9639789923552078
1975,KENTUCKY,0.8287599899853504
1975,LOUISIANA,1.2015857883014514
1975,MAINE,0.7681799550826041
1975,MARYLAND,0.8321871845837547
1975,MASSACHUSETTS,0.8530993822184918
1975,MICHIGAN,0.7930251742771732
1975,MINNESOTA,0.8224841164175212
1975,MISSISSIPPI,0.869947085978473
1975,MISSOURI,1.0273321635549282
1975,MONTANA,0.9229823559634198
1975,NEBRASKA,1.4939171562159848
1975,NEVADA,0.9432344107537016
1975,NEW HAMPSHIRE,0.7903393421681226
1975,NEW JERSEY,0.8679263284202765
1975,NEW MEXICO,1.2264300139396278
1975,NEW YORK,0.892790802281973
1975,NORTH CAROLINA,0.8108923072393859
1975,NORTH DAKOTA,0.43580154037063945
1975,OHIO,0.7596546237003787
1975,OKLAHOMA,1.1330299119683307
1975,OREGON,0.9909216623093409
