year,state,y_votes_percent,fair_p_1,def_mt_2,def_mt_1,fair_g_1,gdp_mt_2,gdp_mt_1,z_4,z_3,z_2,z_1,z_mt_2,z_mt_1,incumbent,former_president_again,former_party_morethan_2,sudden_vice,lag_vice,house_midterm,avg_inc_mt_2,avg_inc_mt_1,unemp_rn
1984,ALABAMA,38.736604648681734,26.78810735541546,8.923984688207565,16.40054090781158,4.249743234460324,9.1582799241682,-1.3238217093338722,1,1,0,0,1,0,-1,-1,0.0,0,0,1,16.997411561691123,16.526329018474307,11.1
1984,ALASKA,30.944087352283617,30.073593568708002,0.2195130456787986,29.78869046132968,-1.1239091988493266,-11.452450060033003,6.632190560394813,0,0,0,1,0,1,-1,-1,0.0,0,0,-1,1.4260708401977018,25.25956019861997,9.8
1984,ARIZONA,32.883272429993994,27.61911217945505,10.086237765459405,15.926490694822126,7.206264291041342,10.315097917389382,-4.918142400703074,1,0,0,0,1,0,-1,-1,0.0,0,0,-1,17.224665649403104,15.20008272153861,4.5
1984,ARKANSAS,38.77241189805592,25.124853286738215,8.706948666118318,15.102902640608296,7.188213012329814,10.072767148404793,0.5683082837411924,1,0,0,1,1,1,-1,-1,0.0,0,0,1,16.83289007092199,18.7837304199026,8.4
1984,CALIFORNIA,41.77546517780233,27.168416718502385,9.42760813390322,16.21236988282726,6.003924449627407,7.459079364181087,-0.9212422005375087,1,0,0,0,1,0,-1,-1,0.0,0,0,1,15.239614297107229,15.470908329845123,7.6
1984,COLORADO,35.634230164349404,28.62566718007704,10.153456329632826,16.769524503313214,4.518487611176725,3.455855391333751,1.152406860192312,1,0,0,0,1,0,-1,-1,0.0,0,0,-1,13.605442176870742,20.065341682548322,5.6
1984,CONNECTICUT,39.000831236981966,29.694676349103013,10.556313644963566,17.31096314010585,8.574221863325215,13.159015273704465,4.087220221885635,1,1,0,0,1,0,-1,-1,0.0,0,0,1,18.107272482860594,20.32349373230893,4.5
1984,DELAWARE,40.04632730080443,26.21679231596403,8.301737510893314,16.541798143606677,6.339376950523246,13.570806918185108,2.4634349485845197,1,1,0,0,1,0,-1,-1,0.0,0,0,1,15.138910689059792,17.883245443611795,6.2
1984,FLORIDA,34.66758678645452,29.263580624039108,11.160827846441457,16.285190681203755,5.580576238397694,8.850739994801394,0.9353420942121105,1,0,0,0,1,0,-1,-1,0.0,0,0,1,16.72249204488361,17.713159191720052,6.4
1984,GEORGIA,39.802179851860195,27.218653729156127,10.58217834532833,15.044445346224823,7.725781158298317,13.16384152083845,2.753249908781452,1,1,0,0,1,0,-1,-1,0.0,0,0,1,20.249951181409887,19.065333643338754,6.0
1984,HAWAII,44.296275782350605,32.03997087522856,12.691249758739186,17.16967480431095,2.2137714609543835,4.277668733742979,-2.2335905103193943,0,0,0,0,0,0,-1,-1,0.0,0,0,1,13.608574232017512,11.645740288194162,5.4
1984,IDAHO,26.724428802585013,23.339761348212384,10.30074502434919,11.821331144213755,0.8567489398244366,4.902597140350773,-6.1436297836605425,0,1,0,0,1,0,-1,-1,0.0,0,0,-1,14.43630157614697,12.477416440831067,7.3
1984,ILLINOIS,43.52674669277925,26.236722027330938,9.140619667910578,15.664289254944496,7.156760169949594,8.453068568919075,-2.1367233884150294,1,0,0,0,1,0,-1,-1,0.0,0,0,1,14.880721112751583,17.52511415525113,8.9
1984,INDIANA,37.926570878316284,25.390637589266007,8.674868807641944,15.381448319216773,8.93017786727086,11.864118965144431,-3.9346550014816684,1,0,0,0,1,0,-1,-1,0.0,0,0,-1,16.601160396780834,14.105712760277633,8.2
1984,IOWA,46.27617466997986,22.567788682712077,9.359037278854831,12.07833548330919,5.916686216217548,2.235684095912527,-2.932207179813895,1,0,0,1,1,1,-1,-1,0.0,0,0,1,14.696485623003186,17.28947642344123,6.9
1984,KANSAS,32.970522888430345,26.66364948900386,9.171244942751343,16.02290470849299,4.114973032820002,4.146998492703569,0.6406344545398568,1,0,0,0,1,0,-1,-1,0.0,0,0,-1,13.215426185212475,21.22084367245658,4.9
1984,KENTUCKY,39.635817610548024,24.943308746506254,8.601854627697225,15.047122514463386,7.531544410109303,7.359280769033072,-1.4640545008328898,1,0,0,0,1,0,-1,-1,0.0,0,0,1,15.607116845281443,17.89744847890089,8.9
1984,LOUISIANA,38.58083883745785,24.91869951025809,1.0485080882245867,23.62250752004438,5.818505955549802,3.5983337059065423,-4.153444895110381,1,0,0,0,1,0,-1,-1,0.0,0,0,1,9.834834834834826,20.42038648434852,10.3
1984,MAINE,38.93088209939838,27.49892471233597,10.02296362280035,15.883921423394586,6.061383842095913,9.931427802389603,0.9824144764289944,1,1,0,0,1,0,-1,-1,0.0,0,0,-1,17.09854731056144,18.92144274541847,5.9
1984,MARYLAND,47.24247280785537,30.120307595870454,10.874840553492282,17.357830637053382,5.485904952968834,9.821744009633605,-0.2858628286460996,1,1,0,0,1,0,-1,-1,0.0,0,0,1,16.61673364998173,19.28004881025016,5.3
1984,MASSACHUSETTS,48.60166976274063,28.27204798624767,9.784081425079583,16.840298084367443,8.537311441253959,14.334141140712276,2.447763297237837,1,1,0,0,1,0,-1,-1,0.0,0,0,1,20.94828248674403,21.79895170348185,4.5
1984,MICHIGAN,40.45367500183143,27.43915170226312,7.988279021458045,18.012022098194592,8.103666591048464,16.36720160227354,-4.8428855767381425,1,1,0,0,1,0,-1,-1,0.0,0,0,1,18.37551091399252,12.404692082111435,11.1
