year,y_votes_percent,fair_p_1,def_mt_2,def_mt_1,gdp_mt_2,gdp_mt_1,fair_g_1,z_4,z_3,z_2,z_1,z_mt_2,z_mt_1,incumbent,former_president_again,former_party_morethan_2,sudden_vice,lag_vice,house_midterm,avg_inc_mt_2,avg_inc_mt_1,unemp_rn,satias,gdp_mt_1_pw2,avg_inc_mt_1_pw2,def_mt_1_pw2,gdp_mt_2_pw2,avg_inc_mt_2_pw2,def_mt_2_pw2,fair_z_1,was_a_vice,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,state,y_hat_fr,y_hat_ds
2004,55.041321,-7.2538815,-4.2010493,-2.9297516,-7.4531455,-1.5534978,-3.4025726,-1,-1,0,0,-1,0,-1,-1,0,0,0,1,-8.61094,-2.1580365,-6.0999999,-1,2.4133554,4.6571212,8.5834446,55.549377,74.148285,17.648815,-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CALIFORNIA,54.560917,56.1684
2008,62.27845,-9.9319639,-4.2292018,-5.4713669,-2.9564669,-8.186965,-1.0016989,0,0,-1,-1,0,-1,-1,0,-1,0,0,1,-4.3620944,-12.613974,-7.5999999,0,67.026398,159.11234,29.935856,8.7406969,19.027868,17.886148,-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CALIFORNIA,57.616814,61.134686
2012,61.87281,6.0134611,4.1923447,1.7478412,3.7858956,-1.242885,2.3872585,0,0,0,0,0,0,1,1,0,0,0,1,11.341303,-.72991025,10.3,0,1.5447631,.53276896,3.054949,14.333005,128.62515,17.575754,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CALIFORNIA,59.506683,60.200317
2016,66.12822,5.8379555,2.247076,3.5119627,7.6168323,6.765347,2.9880428,0,1,1,0,1,1,1,0,1,0,0,1,10.393127,6.5996594,5.5,0,45.76992,43.555504,12.333881,58.016132,108.0171,5.0493507,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CALIFORNIA,58.372456,58.123718
2020,64.908913,-6.6692753,-3.0881903,-3.4738073,-.75994027,-8.8834867,2.7626145,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-13.831634,-8.8164186,-12.3,0,78.916336,77.72924,12.067337,.57750922,191.31409,9.5369196,-3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CALIFORNIA,56.4893,57.913422
1984,35.634232,-28.625668,-10.153457,-16.769524,-7.1200075,-6.4645371,-5.7312636,-1,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-13.605442,-20.065342,-5.5999999,0,41.790241,402.61795,281.21692,50.694508,185.10805,103.09268,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,COLORADO,42.284447,38.406166
1988,46.046177,-12.669854,-5.9111347,-6.3815002,-4.9301791,-1.9247988,-3.0697701,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-8.9074078,-7.784431,-6.3000002,1,3.7048507,60.597366,40.723545,24.306665,79.341911,34.941513,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,COLORADO,49.315914,46.125443
1992,52.802067,-14.005947,-5.8521705,-7.7029848,-9.1371546,-3.5543783,-6.9159431,-1,0,0,0,-1,0,-1,-1,-1.25,0,0,1,-8.9256029,-12.526215,-6.1999998,-1,12.633605,156.90605,59.335976,83.487595,79.666389,34.247898,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,COLORADO,51.766552,53.802639
1996,49.240791,9.3126631,3.9904208,5.118012,11.413576,13.878757,5.4129963,1,1,1,1,1,1,1,1,0,0,0,-1,11.475132,9.2485552,4.1999998,0,192.6199,85.535774,26.194046,130.26971,131.67865,15.923458,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,COLORADO,55.244862,53.812435
2000,45.51408,-20.924217,3.7918665,-23.813122,15.402704,125.33457,7.5687919,1,1,1,1,1,1,1,0,1,1,0,-1,13.805558,13.536604,2.8,0,15708.755,183.23964,567.06476,237.2433,190.59344,14.378252,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,COLORADO,49.183376,47.799149
2004,47.63377,-9.0733042,-5.0667629,-3.813329,-2.2641921,-1.6527066,-1.2470651,0,0,0,0,0,0,-1,-1,0,0,0,-1,-4.0101051,-1.201916,-5.5,1,2.7314391,1.444602,14.541478,5.1265659,16.080944,25.672087,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,COLORADO,48.053257,48.48502
2008,54.550636,-12.647378,-5.7079597,-6.5647073,-5.264029,-6.9294977,-1.5339422,0,-1,0,-1,-1,-1,-1,0,-1,0,0,1,-7.0159702,-12.055055,-5,0,48.017941,145.32434,43.095383,27.710001,49.223839,32.580803,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,COLORADO,48.764484,54.779209
2012,52.74799,4.6778769,3.7006166,.94238645,3.3466127,-1.1522931,1.8853474,0,0,0,0,0,0,1,1,0,0,0,-1,11.771484,-5.0473776,7.9000001,-1,1.3277794,25.476021,.88809222,11.199817,138.56784,13.694563,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,COLORADO,50.867321,50.096016
2016,52.683334,3.4357057,-.20235761,3.6454401,6.7964973,7.8866973,2.0945892,0,1,1,1,1,1,1,0,1,0,0,-1,3.0469768,11.231519,3.0999999,-1,62.199993,126.14701,13.289233,46.192375,9.2840681,.0409486,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,COLORADO,50.002899,48.067818
2020,56.93832,-6.8973241,-1.9700769,-4.8320522,-1.014609,-7.3937135,3.0165629,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,-9.454751,-11.513656,-7.0999999,0,54.667,132.56427,23.348728,1.0294313,89.392319,3.8812032,-3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,COLORADO,48.308285,52.4175
1984,39.000832,-29.694675,-10.556314,-17.310963,-14.637033,-4.9511662,-9.1805143,-1,-1,0,0,-1,0,-1,-1,0,0,0,1,-18.107273,-20.323494,-4.5,-1,24.514046,413.0444,299.66943,214.24275,327.87335,111.43575,-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CONNECTICUT,47.417179,44.170555
1988,47.41885,-13.32387,-5.4882226,-7.4279828,-14.185057,-10.186749,-6.0923052,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,1,-18.547743,-13.954018,-2.9000001,-1,103.76984,194.71461,55.174927,201.21584,344.01877,30.120586,-4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,CONNECTICUT,52.360523,51.255363
1992,54.125118,-15.830172,-6.7642636,-8.491519,1.1088866,-1.7883753,-1.3669904,0,0,0,0,0,0,-1,-1,-1.25,0,0,-1,-8.2064104,-11.188811,-7.4000001,1,3.1982861,125.1895,72.105896,1.2296295,67.345169,45.755264,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,CONNECTICUT,60.903641,56.646664
1996,60.363506,10.900434,4.7001939,5.9218998,9.0174913,.97603393,2.6254473,0,1,0,0,1,0,1,1,0,0,0,-1,9.9476614,5.7002802,5.1999998,-1,.9526422,32.493195,35.068897,81.315147,98.955971,22.091822,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CONNECTICUT,59.287498,57.522346
2000,59.255657,-21.720146,3.4330349,-24.318323,10.064865,102.19872,6.8227248,1,0,0,1,1,1,1,0,1,1,0,1,13.86047,13.967642,2.0999999,1,10444.579,195.09502,591.38086,101.30151,192.11263,11.785728,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CONNECTICUT,54.259838,56.85704
2004,55.274948,-9.2312307,-4.6693158,-4.358407,-7.7298217,-.24061148,-6.4969935,-1,0,0,0,-1,0,-1,-1,0,0,0,1,-5.6849451,-3.7775714,-5,-1,.057893883,14.270046,18.995712,59.750145,32.3186,21.802509,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,CONNECTICUT,52.032204,54.987518
2008,61.318336,-10.764377,-4.7056046,-5.7864833,-3.8359804,-6.3434529,.0763705,0,-1,-1,0,-1,-1,-1,0,-1,0,0,1,-13.546633,-13.671197,-5.9000001,0,40.239395,186.90163,33.483387,14.714746,183.51126,22.142714,-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CONNECTICUT,56.315208,59.562004
2012,58.772579,7.876225,4.1136346,3.6139269,-1.4089354,-5.1992192,.99332446,0,0,0,0,0,0,1,1,0,0,0,1,4.109323,1.2989995,8.3999996,0,27.031881,1.6873999,13.060468,1.9850991,16.886536,16.921989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CONNECTICUT,57.626545,58.393131
2016,57.141548,8.3784275,3.6247935,4.5873523,3.1833792,-2.1298242,.23905417,0,0,0,0,0,0,1,0,1,0,0,1,5.1196766,2.4012442,4.6999998,0,4.5361509,5.7659736,21.0438,10.133903,26.211088,13.139128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CONNECTICUT,54.900551,56.502899
2020,60.195049,-8.124527,-4.3695326,-3.5977876,5.6438427,-2.7586384,6.2054887,0,0,0,0,0,0,-1,-1,0,0,1,1,-6.3303981,-6.8106623,-8.3999996,0,7.6100855,46.38512,12.944076,31.852961,40.07394,19.092815,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CONNECTICUT,57.763241,56.968903
1984,40.046326,-26.216793,-8.3017378,-16.541798,-15.924497,-3.1917994,-7.4117999,-1,-1,0,0,-1,0,-1,-1,0,0,0,1,-15.13891,-17.883245,-6.1999998,-1,10.187583,319.81046,273.63107,253.5896,229.1866,68.918854,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,DELAWARE,47.930588,44.995602
1988,43.758812,-15.754749,-6.6329899,-8.5543509,-12.016025,-9.2139568,-4.5929379,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,1,-14.67612,-12.48722,-3,-1,84.897003,155.93066,73.176918,144.38484,215.38849,43.996555,-3,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,DELAWARE,52.486233,51.732922
1992,55.197994,-17.785519,-9.4902868,-7.5762272,-4.9842782,-9.6960917,-.92166585,0,-1,0,-1,-1,-1,-1,-1,-1.25,0,0,1,-6.3242764,-13.379128,-5.1999998,0,94.014191,179.00108,57.39922,24.843029,39.996471,90.065544,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,DELAWARE,58.947327,58.173653
1996,58.623657,13.405841,7.1877646,5.8011065,6.0981293,5.7845221,1.8760041,0,1,1,0,1,1,1,1,0,0,0,-1,9.6354818,4.856667,5,-1,33.460697,23.587215,33.652836,37.18718,92.842506,51.66396,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,DELAWARE,59.248901,56.946526
2000,56.740067,-19.614857,4.4360619,-23.029324,12.12647,141.72966,4.2655621,1,1,1,0,1,1,1,0,1,1,0,-1,14.970141,12.372746,3.7,0,20087.297,153.08484,530.34973,147.05127,224.10513,19.678644,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,DELAWARE,53.452705,52.566654
2004,53.831505,-11.26183,-6.2032418,-4.7631211,-6.2535267,.027762944,-4.8340316,-1,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-3.4946094,-11.138,-4.4000001,0,.00077078107,124.05505,22.687323,39.106598,12.212295,38.480209,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,DELAWARE,51.122391,51.678814
2008,62.638138,-10.599521,-3.890825,-6.457448,3.2472126,-.92292482,3.0130014,0,0,0,0,0,0,-1,0,-1,0,0,-1,.38730422,-5.3343253,-5.3000002,1,.85179019,28.455027,41.698635,10.54439,.15000455,15.138519,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DELAWARE,57.962879,57.487061
2012,59.446957,5.7625523,4.1498532,1.5484409,2.9341073,3.2758965,-.89749885,0,1,0,1,1,1,1,1,0,0,0,1,7.7514834,.12960337,7.0999999,0,10.731498,.016797034,2.3976693,8.6089859,60.085495,17.221281,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,DELAWARE,57.045547,59.409931
2016,55.998623,10.08503,4.5858274,5.2580762,-2.9855206,4.1464462,-5.6774983,0,0,1,0,0,1,1,0,1,0,0,1,6.0175648,4.5193896,4.5,0,17.193016,20.424883,27.647366,8.9133329,36.211086,21.029812,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,DELAWARE,52.715443,56.113377
2020,59.626743,-10.937509,-4.009429,-6.6610112,-.52012551,2.0097997,3.4331117,0,-1,0,0,-1,0,-1,-1,0,0,1,1,-5.7197242,-8.5334425,-7.9000001,0,4.0392947,72.819641,44.369072,.27053055,32.715244,16.075521,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,DELAWARE,54.996811,56.804287
1984,34.667587,-29.26358,-11.160828,-16.285191,-14.760531,-7.4138789,-8.4295826,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,1,-16.722492,-17.71316,-6.4000001,-1,54.965599,313.75601,265.20743,217.87329,279.64175,124.56407,-3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,FLORIDA,39.088356,37.389736
1988,38.747929,-15.80325,-7.0041442,-8.2231455,-13.063279,-10.088153,-6.2097249,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,1,-12.754644,-11.987947,-5.1999998,-1,101.77083,143.71089,67.620125,170.64926,162.68095,49.058037,-4,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FLORIDA,43.84552,44.763897
1992,48.803158,-14.389071,-6.3688684,-7.5399909,-4.3019881,-6.1155748,-3.7379351,-1,0,0,-1,-1,-1,-1,-1,-1.25,0,0,1,-5.3736782,-12.283393,-8.3999996,-1,37.400257,150.88174,56.851463,18.507101,28.876417,40.562485,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FLORIDA,50.916355,52.486279
1996,53.154961,9.7450724,3.9543312,5.570467,9.0583344,8.8634043,5.1427546,1,1,1,1,1,1,1,1,0,0,0,-1,9.816226,7.1308522,5.1999998,0,78.559937,50.849052,31.030102,82.053421,96.358292,15.636735,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FLORIDA,53.737759,51.753811
2000,49.995392,-22.471447,4.5493455,-25.845015,9.3095627,122.20186,4.4649372,1,1,1,1,1,1,1,0,1,1,0,1,9.6083031,9.726531,3.8,1,14933.294,94.605408,667.96478,86.667961,92.319489,20.696545,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FLORIDA,46.274521,50.408379
2004,47.476322,-10.176143,-4.8938627,-5.0358329,-11.473838,-7.3541617,-6.4739275,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,-9.6332359,-4.5611892,-3.7,0,54.083694,20.804447,25.359613,131.64896,92.799232,23.949892,-3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,FLORIDA,42.637856,44.218697
2008,51.419659,-11.260443,-4.6857228,-6.280436,2.8445988,-9.2081099,3.9972303,0,0,0,-1,0,-1,-1,0,-1,0,0,-1,-2.6441932,-13.642015,-6.0999999,1,84.789284,186.10458,39.443878,8.0917425,6.9917574,21.955997,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FLORIDA,50.25486,50.548225
2012,50.442253,6.9076161,3.7634907,3.0300882,.45229954,-5.0278397,.84501553,0,0,0,0,0,0,1,1,0,0,0,-1,6.7155538,-1.3603716,8.5,-1,25.279171,1.8506109,9.1814346,.20457487,45.098663,14.163862,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FLORIDA,49.319534,47.784431
2016,49.381165,8.1463537,3.7708251,4.2165303,7.8687057,4.9693336,3.4376135,1,1,0,0,1,0,1,0,1,0,0,-1,6.6032081,4.6124172,4.9000001,0,24.694277,21.274393,17.779127,61.916531,43.602356,14.219122,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FLORIDA,49.173939,46.283085
2020,48.305244,-8.3390007,-4.4943047,-3.6793349,-.056960344,-7.0245543,2.8425128,0,0,-1,-1,0,-1,-1,-1,0,0,1,-1,-8.84653,-10.587421,-7.9000001,1,49.344364,112.09349,13.537505,.0032444808,78.261093,20.198774,-2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FLORIDA,47.14497,46.75713
1984,39.802181,-27.218655,-10.582178,-15.044445,-16.87245,-5.817657,-9.7322941,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,1,-20.24995,-19.065334,-6,-1,33.845135,363.48697,226.33533,284.67957,410.06049,111.98249,-3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,GEORGIA,36.805408,35.712353
1988,39.796383,-14.602053,-6.7117519,-7.394032,-9.7288837,-13.768647,-4.4577255,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,1,-13.112198,-14.558298,-5.5,-1,189.57565,211.94405,54.671711,94.651176,171.92973,45.047615,-4,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GEORGIA,42.639816,44.257946
1992,50.342129,-13.739143,-6.2906694,-7.0076461,-7.0692744,-3.8481042,-5.6944833,-1,0,0,0,-1,0,-1,-1,-1.25,0,0,1,-8.5506029,-11.755122,-6.5999999,-1,14.807906,138.18289,49.107105,49.97464,73.112808,39.572521,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,GEORGIA,48.752323,50.666283
1996,49.367729,8.7736282,3.8222456,4.7690964,12.710107,12.105467,6.6964912,1,1,1,1,1,1,1,1,0,0,0,-1,11.308677,8.9359503,4.5,0,146.54233,79.851204,22.74428,161.54681,127.88617,14.609561,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,GEORGIA,52.137592,50.361645
2000,44.016247,-20.410843,4.1509442,-23.582874,10.569625,120.1995,3.3410194,1,1,1,1,1,1,1,0,1,1,0,-1,10.320435,11.403621,3.5,0,14447.92,130.04257,556.15198,111.71697,106.51137,17.230337,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,GEORGIA,44.064102,44.60899
