year,y_votes_percent,fair_p_1,def_mt_2,def_mt_1,gdp_mt_2,gdp_mt_1,fair_g_1,z_4,z_3,z_2,z_1,z_mt_2,z_mt_1,incumbent,former_president_again,former_party_morethan_2,sudden_vice,lag_vice,house_midterm,avg_inc_mt_2,avg_inc_mt_1,unemp_rn,satias,gdp_mt_1_pw2,avg_inc_mt_1_pw2,def_mt_1_pw2,gdp_mt_2_pw2,avg_inc_mt_2_pw2,def_mt_2_pw2,fair_z_1,was_a_vice,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,state,y_hat_fr,y_hat_ds
1984,30.944088,-30.073593,-.21951304,-29.788691,-1.1713158,-18.284477,-3.9950275,-1,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1.4260708,-25.25956,-9.8000002,0,334.32211,638.04535,887.36609,1.3719807,2.0336781,.048185978,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ALASKA,33.25922,34.282093
1988,37.836681,13.761627,.60382563,13.237734,-11.566387,7.0638309,5.6967897,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,-1,-.43775514,-3.1978073,-8.6999998,1,49.897705,10.225971,175.23759,133.78131,.19162956,.3646054,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ALASKA,45.956909,37.061485
1992,43.425739,-13.895432,.022570224,-13.921144,9.1118574,-3.3365178,-1.2752988,0,0,0,-1,0,-1,-1,-1,-1.25,0,0,-1,-4.4242449,-13.677767,-8.8999996,1,11.132351,187.0813,193.79826,83.025948,19.573942,.00050941505,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ALASKA,44.502415,46.417034
1996,39.571499,12.682188,8.7699661,3.5967855,4.1366434,.1422524,-1.2217252,0,1,0,0,1,0,1,1,0,0,0,-1,4.8224635,6.0767326,7.1999998,-1,.020235745,36.926678,12.936866,17.111818,23.256155,76.912308,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ALASKA,41.895489,43.978771
2000,32.063053,-30.614941,15.388535,-39.868324,-4.1106291,130.62599,-2.9166923,0,0,0,0,0,0,1,0,1,1,0,-1,9.5334129,8.5407934,6.4000001,-1,17063.15,72.945152,1589.4833,16.897272,90.885963,236.80702,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ALASKA,31.839056,32.998489
2004,36.773716,-17.79755,-15.738835,-1.778759,-2.5035481,-9.0654869,-4.0129571,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-6.5024743,-8.4633627,-7.3000002,0,82.183052,71.62851,3.1639836,6.2677531,42.282173,247.71094,-3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ALASKA,34.4618,34.739262
2008,38.935215,-34.217213,-17.321095,-14.401603,-4.1916885,-11.656339,.90659499,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-16.308283,-11.187055,-6.5,1,135.87024,125.15019,207.40616,17.570253,265.96008,300.02032,-3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ALASKA,36.505051,36.993507
2012,42.684708,-7.0214524,2.38114,-9.1839104,6.7435875,6.5351467,5.4328575,1,0,0,1,1,1,1,1,0,0,0,-1,8.2067909,3.7289269,7.1999998,0,42.708141,13.904896,84.344208,45.475971,67.351418,5.6698275,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ALASKA,42.21817,43.228073
2016,41.614346,-6.4868584,-10.289143,4.2383766,.10777254,-7.0266767,-.90280008,0,0,0,0,0,0,1,0,1,0,0,-1,.77088177,4.0592604,6.6999998,-1,49.374184,16.477594,17.963837,.011614922,.59425873,105.86646,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ALASKA,36.145885,37.173134
2020,44.738152,-6.2098727,3.3340156,-9.8730574,5.8002315,1.8379033,5.9537091,0,0,0,0,0,0,-1,-1,0,0,1,-1,-6.0647058,-6.2654195,-7.1999998,1,3.3778884,39.255482,97.477264,33.642685,36.780659,11.11566,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ALASKA,41.803204,41.715351
1984,32.883274,-27.619112,-10.086238,-15.926491,-17.082207,-.36374697,-10.752575,-1,-1,0,0,-1,0,-1,-1,0,0,0,-1,-17.224667,-15.200083,-4.5,0,.13231187,231.04251,253.65311,291.80179,296.68915,101.73219,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ARIZONA,37.339115,33.129677
1988,39.256508,-14.513651,-6.4997911,-7.5247655,-9.1266689,-12.648228,-4.7761221,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-8.8983917,-12.810107,-6.5999999,0,159.97766,164.09885,56.622097,83.296089,79.181374,42.247284,-4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,ARIZONA,42.94146,41.662392
1992,48.698097,-13.176891,-5.8119898,-6.9603662,-10.631165,-1.6795771,-10.172822,-1,0,0,0,-1,0,-1,-1,-1.25,0,0,-1,-5.691855,-7.9718275,-7.5,0,2.8209794,63.550034,48.446697,113.02166,32.397213,33.779224,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ARIZONA,47.48859,47.40815
