year,state,y_votes_percent,fair_p_1,def_mt_2,def_mt_1,fair_g_1,gdp_mt_2,gdp_mt_1,z_4,z_3,z_2,z_1,incumbent,former_president_again,former_party_morethan_2,sudden_vice,lag_vice,house_midterm,avg_inc_mt_2,avg_inc_mt_1,unemp_mt_1,unemp_mt_2
1984,ALABAMA,38.736604648681734,26.78810735541546,8.923984688207565,16.40054090781158,4.719411633608184,9.896919111673807,-0.693998200745416,1,1,0,0,-1,-1,0.0,0,0,1,16.997411561691123,16.526329018474307,51.546391752577314,-28.18791946308725
1984,ALASKA,30.944087352283617,30.073593568708002,0.2195130456787986,29.78869046132968,3.9950275151904746,1.1713157617131653,18.284476688740536,1,0,0,1,-1,-1,0.0,0,0,-1,1.4260708401977018,25.25956019861997,13.186813186813207,-7.619047619047626
1984,ARIZONA,32.883272429993994,27.61911217945505,10.086237765459405,15.926490694822126,10.752575081086224,17.082207281928596,0.36374697177496973,1,1,0,0,-1,-1,0.0,0,0,-1,17.224665649403104,15.20008272153861,85.2459016393443,-56.89655172413792
1984,ARKANSAS,38.77241189805592,25.124853286738215,8.706948666118318,15.102902640608296,7.8390779181293,11.296819283982318,0.810684120771521,1,1,0,1,-1,-1,0.0,0,0,1,16.83289007092199,18.7837304199026,18.29268292682926,-15.151515151515149
1984,CALIFORNIA,41.77546517780233,27.168416718502385,9.42760813390322,16.21236988282726,8.028589210434745,11.894211324855931,3.3215464242363213,1,1,0,1,-1,-1,0.0,0,0,1,15.239614297107229,15.470908329845123,52.112676056338046,-31.818181818181824
1984,COLORADO,35.634230164349404,28.62566718007704,10.153456329632826,16.769524503313214,5.731263809044762,7.120007470451695,6.464537148684202,1,0,0,1,-1,-1,0.0,0,0,-1,13.605442176870742,20.065341682548322,42.622950819672134,-35.95505617977528
1984,CONNECTICUT,39.000831236981966,29.694676349103013,10.556313644963566,17.31096314010585,9.180514383894378,14.637033411317724,4.951166076031122,1,1,0,0,-1,-1,0.0,0,0,1,18.107272482860594,20.32349373230893,15.000000000000014,-34.78260869565217
1984,DELAWARE,40.04632730080443,26.21679231596403,8.301737510893314,16.541798143606677,7.411800080181741,15.924497007283467,3.191799425761377,1,1,0,0,-1,-1,0.0,0,0,1,15.138910689059792,17.883245443611795,9.090909090909083,-27.380952380952383
1984,FLORIDA,34.66758678645452,29.263580624039108,11.160827846441457,16.285190681203755,8.429582883321673,14.760531727796566,7.413878980901956,1,1,0,1,-1,-1,0.0,0,0,1,16.72249204488361,17.713159191720052,42.85714285714286,-30.43478260869564
1984,GEORGIA,39.802179851860195,27.218653729156127,10.58217834532833,15.044445346224823,9.732293833846706,16.872449892832385,5.8176569492025765,1,1,0,1,-1,-1,0.0,0,0,1,20.249951181409887,19.065333643338754,34.42622950819671,-27.380952380952383
1984,HAWAII,44.296275782350605,32.03997087522856,12.691249758739186,17.16967480431095,3.7484157841599863,7.860200245654525,0.40022571085840397,1,1,0,0,-1,-1,0.0,0,0,1,13.608574232017512,11.645740288194162,19.6078431372549,-9.836065573770492
1984,IDAHO,26.724428802585013,23.339761348212384,10.30074502434919,11.821331144213755,1.7786561264822254,6.747217886415191,-3.5956014499375577,0,1,0,0,-1,-1,0.0,0,0,-1,14.43630157614697,12.477416440831067,41.66666666666665,-29.807692307692314
1984,ILLINOIS,43.52674669277925,26.236722027330938,9.140619667910578,15.664289254944496,7.1878585768153425,8.345929583503754,-2.2333396823655205,1,0,0,0,-1,-1,0.0,0,0,1,14.880721112751583,17.52511415525113,41.57303370786516,-30.46875
1984,INDIANA,37.926570878316284,25.390637589266007,8.674868807641944,15.381448319216773,9.088584814174538,11.667801448021908,-4.333615003638247,1,0,0,0,-1,-1,0.0,0,0,-1,16.601160396780834,14.105712760277633,33.33333333333333,-34.92063492063493
1984,IOWA,46.27617466997986,22.567788682712077,9.359037278854831,12.07833548330919,5.476422426796246,1.1887930128686053,-3.7925542857548233,1,0,0,0,-1,-1,0.0,0,0,1,14.696485623003186,17.28947642344123,44.26229508196724,-20.2247191011236
1984,KANSAS,32.970522888430345,26.66364948900386,9.171244942751343,16.02290470849299,4.483886034563289,5.139410838874281,2.007183476794716,1,0,0,0,-1,-1,0.0,0,0,-1,13.215426185212475,21.22084367245658,57.77777777777777,-30.985915492957737
1984,KENTUCKY,39.635817610548024,24.943308746506254,8.601854627697225,15.047122514463386,7.5603594384573425,7.709329042278101,-0.9469871186913781,1,0,0,0,-1,-1,0.0,0,0,1,15.607116845281443,17.89744847890089,35.29411764705883,-26.271186440677972
1984,LOUISIANA,38.58083883745785,24.91869951025809,1.0485080882245867,23.62250752004438,5.942806817593116,4.737589320833879,-1.2141603128747125,1,0,0,0,-1,-1,0.0,0,0,1,9.834834834834826,20.42038648434852,37.9746835443038,-4.46428571428571
1984,MAINE,38.93088209939838,27.49892471233597,10.02296362280035,15.883921423394586,7.067731613785688,11.764225942489404,1.862692645324815,1,1,0,0,-1,-1,0.0,0,0,-1,17.09854731056144,18.92144274541847,17.567567567567544,-34.83146067415731
1984,MARYLAND,47.24247280785537,30.120307595870454,10.874840553492282,17.357830637053382,6.755576644472816,11.932651778021008,1.0179836652116858,1,1,0,0,-1,-1,0.0,0,0,1,16.61673364998173,19.28004881025016,22.388059701492512,-36.58536585365852
1984,MASSACHUSETTS,48.60166976274063,28.27204798624767,9.784081425079583,16.840298084367443,9.31154259721103,15.712041381704367,2.8961135021404294,1,1,0,0,-1,-1,0.0,0,0,1,20.94828248674403,21.79895170348185,35.593220338983045,-44.99999999999999
