year,state,def_4,def_3,def_2,def_1
1984,ALABAMA,4.54848519904083,4.185139058530218,6.426162498355481,9.372111307320896
1984,ALASKA,1.250441759617349,-1.0181967565001893,4.758324663705249,23.893438424084025
1984,ARIZONA,4.731523914581293,5.1128004737574395,6.966784095120726,8.376157772242587
1984,ARKANSAS,4.3635850114860375,4.161761647182072,5.603037376913367,8.995825782726751
1984,CALIFORNIA,4.7375487564110585,4.477915927171328,6.742429812837991,8.871767381156538
1984,COLORADO,4.859061391004094,5.049058105609694,6.207242390440082,9.944973501942522
1984,CONNECTICUT,4.935244688304263,5.35670257724743,7.237102950442598,9.394006283738076
1984,DELAWARE,4.630273857016132,3.5089879042985883,6.271536278596446,9.66416994112722
1984,FLORIDA,5.189712110981692,5.67652065551798,6.422995683096899,9.266977437352164
1984,GEORGIA,5.059585889108731,5.256628806864638,5.768885072145458,8.769649285564896
1984,HAWAII,6.840858333389632,5.475799723635499,6.666052028017377,9.847203094696555
1984,IDAHO,4.493351751784713,5.5576677130229735,4.343837269799655,7.166205566199091
1984,ILLINOIS,4.678430294609037,4.262759157491258,6.631540605124142,8.47099141451051
1984,INDIANA,4.260448589379351,4.2340314836438075,6.225718523035706,8.619127197709275
1984,IOWA,4.377545972239916,4.772569866645249,4.343949084586685,7.41239570341794
1984,KANSAS,4.354504401638981,4.615747608338716,5.647255140565233,9.821030895807748
1984,KENTUCKY,4.0459448759609495,4.378748020566925,6.500602915750919,8.024855601496771
1984,LOUISIANA,1.4403218658852968,-0.3862505268651839,5.111004652576079,17.611384201544332
1984,MAINE,5.098896436815847,4.685174966556183,6.398447258832163,8.915049428764132
1984,MARYLAND,5.288847469132385,5.305398642527215,7.04861550191036,9.63040492098568
1984,MASSACHUSETTS,4.627066332340468,4.928949337409727,7.158874084845057,9.034645130609476
1984,MICHIGAN,4.014365274166187,3.82054318825793,7.1159655597737625,10.172205871906659
1984,MINNESOTA,4.3019353714514486,4.300704293411961,5.3455106421975485,7.325510605178431
1984,MISSISSIPPI,3.6039459606472146,3.303941480185313,5.80699636009494,8.76616402086372
1984,MISSOURI,4.747066902251973,4.6011932353522855,6.411977156247861,8.80532427984415
1984,MONTANA,3.3982405154739714,3.583874235484563,4.687601863288715,9.989093218889899
1984,NEBRASKA,4.990254904214186,5.149042274886151,4.441022501036107,7.919882024931524
1984,NEVADA,4.81922318963901,5.064542540301731,6.364289183110672,8.940232978508789
1984,NEW HAMPSHIRE,4.334703331479273,4.08509599292175,6.694982035428376,8.666262322466768
1984,NEW JERSEY,4.877349221311977,4.234895184925325,6.849947487599062,8.930241841324293
1984,NEW MEXICO,2.648684284791969,1.6254435356686692,5.681920165787124,16.01520399812195
1984,NEW YORK,4.856417890391729,5.932101293362013,7.003251475107142,9.064409411889507
1984,NORTH CAROLINA,4.684307627953421,7.006422044872784,6.939486036565867,8.235524063673516
1984,NORTH DAKOTA,3.5476358433480515,2.9219488044361697,3.972573733929763,13.179872759790157
1984,OHIO,4.018640434944376,3.4392567999665946,6.753184393764755,8.394626694287787
1984,OKLAHOMA,2.678911151573238,1.5554505658014195,5.491630706635764,14.12999971117921
1984,OREGON,4.5614640154332475,5.57836642687306,5.6093574964596105,8.166499108409475
1984,PENNSYLVANIA,4.3741359407758695,4.149308323551071,6.604062531468302,8.489541836953363
1984,RHODE ISLAND,4.664589475431424,4.893620971648671,6.758658976969056,8.813417405859214
1984,SOUTH CAROLINA,4.84636629187063,4.122365871508782,6.0358979022374415,8.719128183177949
1984,SOUTH DAKOTA,5.013031927213563,6.0091334400697916,3.6094048453598093,6.927934651528722
1984,TENNESSEE,4.504276762335979,3.988626101830106,5.927226517510853,8.713753219288645
1984,TEXAS,2.9718775269554243,1.9996706086824467,5.673046899796752,13.59017084793319
1984,UTAH,4.058484380858096,3.975477196883248,6.6959238638907514,9.087972938860256
1984,VERMONT,4.71491701820268,4.7243468141269895,6.319574085790491,8.463777974137932
1984,VIRGINIA,5.742699657731887,6.2672144281693765,7.61505175958157,9.332919722548727
1984,WASHINGTON,5.318716584523897,6.240828924849318,6.77737309406512,8.498493790231688
1984,WEST VIRGINIA,3.199438039200131,2.2093023680275437,6.376166762108837,9.082716662745982
1984,WISCONSIN,4.507281504480165,4.1559863495049365,5.652183292918722,8.356480744588012
1984,WYOMING,0.14802110556881853,-1.593560891170387,4.412318259886949,17.75685412397763
1988,ALABAMA,3.583284833455669,2.584083738377152,3.2336928205202398,2.784003429199733
1988,ALASKA,-1.6160870516543913,1.0288891733065686,-12.292443613195713,-1.0777754300953846
1988,ARIZONA,3.2265899364720685,3.1708893814133,4.057520060565012,3.3320471818399477
1988,ARKANSAS,3.212602171109924,2.5120305295970313,2.9997781390070255,2.009543359630661
1988,CALIFORNIA,3.2871634531662197,2.9338568879015314,3.5594894467584792,3.361943310086013
1988,COLORADO,2.846466920274815,2.979847276872083,2.8682322050519016,3.415309258725796
1988,CONNECTICUT,3.029759597839843,2.3861677443518747,3.9885677696859245,3.3074934464787153
1988,DELAWARE,3.7123308504874553,2.816115321766688,5.035688392820603,3.3499683443228623
1988,FLORIDA,3.36188064167251,3.5237976139327776,4.130645593872484,3.9301588966007106
1988,GEORGIA,3.5299844635794164,3.0732810937124544,3.9795816300420617,3.2837699145814803
1988,HAWAII,3.34986278497027,3.5475829665729375,4.727480686302932,4.714876203247131
1988,IDAHO,3.630068145700771,3.3523988057021725,3.367586995548999,1.346516870544412
1988,ILLINOIS,3.254679139990735,2.4341656616311047,3.7336489847139998,3.166617095550106
1988,INDIANA,3.407475179880559,2.148331911383883,3.747719023471574,2.037091778351785
1988,IOWA,3.0410441956882917,2.397289777002354,3.250458039252968,0.779429839493706
1988,KANSAS,3.0550171010794935,2.197782308670626,2.4264421210868026,1.8865377979386144
1988,KENTUCKY,3.0002211434511983,2.062248735129435,3.9736234070400167,2.09430202100529
1988,LOUISIANA,2.217330853485011,1.3864555039131865,-8.44853595286864,0.3474622799455984
1988,MAINE,3.683706436883849,3.5578435434970856,3.6925853603123837,3.278203335667196
1988,MARYLAND,3.6699836970230493,3.6105676431704703,4.058560174240933,3.992457463052923
1988,MASSACHUSETTS,3.043888028644104,2.6454891466944908,3.965682327282649,3.4095995008653235
1988,MICHIGAN,2.4675412704926902,2.3650297710511747,4.546819787838285,2.6167232665683438
1988,MINNESOTA,3.469905530085815,2.478712714345721,3.948285781369365,2.2042226514049412
1988,MISSISSIPPI,3.5234963773351557,1.521459555829896,2.6058915445537734,2.0150383445284525
1988,MISSOURI,3.1591780391878377,2.6452734988314353,4.095251638316144,2.9904468911902127
1988,MONTANA,3.7118317659016853,2.957171781110235,1.12840715859297,2.0058173318082906
