year,state,gdp_mt_2,gdp_mt_1
1984,ALABAMA,9.1582799241682,-1.3238217093338722
1984,ALASKA,-11.452450060033003,6.632190560394813
1984,ARIZONA,10.315097917389382,-4.918142400703074
1984,ARKANSAS,10.072767148404793,0.5683082837411924
1984,CALIFORNIA,7.459079364181087,-0.9212422005375087
1984,COLORADO,3.455855391333751,1.152406860192312
1984,CONNECTICUT,13.159015273704465,4.087220221885635
1984,DELAWARE,13.570806918185108,2.4634349485845197
1984,FLORIDA,8.850739994801394,0.9353420942121105
1984,GEORGIA,13.16384152083845,2.753249908781452
1984,HAWAII,4.277668733742979,-2.2335905103193943
1984,IDAHO,4.902597140350773,-6.1436297836605425
1984,ILLINOIS,8.453068568919075,-2.1367233884150294
1984,INDIANA,11.864118965144431,-3.9346550014816684
1984,IOWA,2.235684095912527,-2.932207179813895
1984,KANSAS,4.146998492703569,0.6406344545398568
1984,KENTUCKY,7.359280769033072,-1.4640545008328898
1984,LOUISIANA,3.5983337059065423,-4.153444895110381
1984,MAINE,9.931427802389603,0.9824144764289944
1984,MARYLAND,9.821744009633605,-0.2858628286460996
1984,MASSACHUSETTS,14.334141140712276,2.447763297237837
1984,MICHIGAN,16.36720160227354,-4.8428855767381425
1984,MINNESOTA,13.427978618922666,0.08386778155051733
1984,MISSISSIPPI,8.211877032553083,-1.06880431922447
1984,MISSOURI,11.047050916592127,-0.14232712917774393
1984,MONTANA,-1.3565840435356247,-2.5634999062117303
1984,NEBRASKA,4.466645485239318,2.5135441831676264
1984,NEVADA,2.9338447450554916,-5.33230319139496
1984,NEW HAMPSHIRE,15.64629303689724,3.592696743401591
1984,NEW JERSEY,14.232955419186455,2.108981901902607
1984,NEW MEXICO,2.6154348285963636,-4.216010808051596
1984,NEW YORK,7.323028011978083,2.4484565995721352
1984,NORTH CAROLINA,11.413285981401899,-0.6659780431521933
1984,NORTH DAKOTA,-1.3803696397326592,8.220538185254455
1984,OHIO,13.313504947915034,-3.633908830686694
1984,OKLAHOMA,-2.6726606981947953,3.299938298490912
1984,OREGON,7.290449356256823,-8.632661200738646
1984,PENNSYLVANIA,8.657261344594215,-3.219690653168572
1984,RHODE ISLAND,9.187644523241767,1.547638553430719
1984,SOUTH CAROLINA,14.366344300063293,-0.6578305797702022
1984,SOUTH DAKOTA,6.109956431055652,2.9723669084210202
1984,TENNESSEE,12.143999991301957,-0.4966766486442675
1984,TEXAS,1.2018346948399872,-0.21340356578403163
1984,UTAH,7.057784744594042,-2.6132186449974726
1984,VERMONT,7.6894391174301635,1.4751160786908413
1984,VIRGINIA,8.79091707072821,1.1836878199326106
1984,WASHINGTON,3.701722327716239,0.17530495736290952
1984,WEST VIRGINIA,3.6475395912981323,-3.894553340364326
1984,WISCONSIN,7.969331082014874,-2.117146950679183
1984,WYOMING,-0.43559412628925154,-9.284770242045282
1988,ALABAMA,9.774609304028004,4.730621548928826
1988,ALASKA,12.036749667267511,-12.282930441098227
1988,ARIZONA,2.121871255391383,4.437711623070428
1988,ARKANSAS,6.931270239942,2.4386664926866253
1988,CALIFORNIA,6.812914744443788,4.0364625477404825
1988,COLORADO,4.1314656795008675,-0.19882860857436402
1988,CONNECTICUT,12.502513751401656,8.692169846291353
1988,DELAWARE,8.545992699896775,6.430524907124346
1988,FLORIDA,7.193505268837397,4.166671280025436
1988,GEORGIA,5.707190141553742,9.099803428604169
1988,HAWAII,8.70943131757025,4.513225505802776
1988,IDAHO,8.451258156921359,0.33026079131992514
1988,ILLINOIS,9.001686766518734,5.433947423497143
1988,INDIANA,8.22282188092467,3.6218212345586753
1988,IOWA,8.54750699340614,3.0751349436844544
1988,KANSAS,4.821985890433433,3.8153171339963876
1988,KENTUCKY,10.829749105902442,1.7756752841739498
1988,LOUISIANA,6.978125434524873,1.4354148574218017
1988,MAINE,11.298031910355654,7.60742181058931
1988,MARYLAND,8.462007847225571,7.678736307227774
1988,MASSACHUSETTS,11.281954039907681,9.96683739202524
1988,MICHIGAN,4.316135173016056,5.1345215188860704
1988,MINNESOTA,6.774063415947307,3.6011275203472026
1988,MISSISSIPPI,9.639383018893465,2.4037567241366187
1988,MISSOURI,7.273034246963128,3.2861123407500914
1988,MONTANA,1.518155268432908,-2.4863578629041316
1988,NEBRASKA,6.147817772056263,2.5472685592953015
1988,NEVADA,5.727689475739872,3.8824418348285317
1988,NEW HAMPSHIRE,12.038683840948705,10.94623421388321
1988,NEW JERSEY,13.41429133451748,8.65178273445968
1988,NEW MEXICO,0.2750858495956132,-0.4691408196044966
1988,NEW YORK,9.611133333576994,4.8199260846742975
1988,NORTH CAROLINA,8.072899443451975,7.6812573429154485
1988,NORTH DAKOTA,-3.6081915314743918,-4.68127383916328
1988,OHIO,6.161008538113477,4.610604658061934
1988,OKLAHOMA,5.8215134364879795,-2.6347432803374926
1988,OREGON,7.52079396078964,3.7922103660578577
1988,PENNSYLVANIA,10.020338186708354,4.636392635312925
1988,RHODE ISLAND,9.525028332339613,10.179912294958315
1988,SOUTH CAROLINA,10.576547365680543,6.212377121298074
1988,SOUTH DAKOTA,2.586760125978338,5.315632899972034
1988,TENNESSEE,10.134067677296986,5.974512344608152
1988,TEXAS,4.901223413972566,-1.270104919334747
1988,UTAH,4.3290204339959,1.660569642677201
1988,VERMONT,14.780287326261533,8.97324028776396
1988,VIRGINIA,7.3163289666811515,7.125728089342553
1988,WASHINGTON,6.364178917869845,2.924615380627249
1988,WEST VIRGINIA,10.710602366694811,2.078173234753744
1988,WISCONSIN,7.690792106762556,4.600474030407975
