year,state,gdp_4,gdp_3,gdp_2,gdp_1
1984,ALABAMA,4.719411633608184,4.94417166530754,-2.4887868513478573,1.840597191490545
1984,ALASKA,3.9950275151904746,-2.7152372771523714,2.618149202028963,15.26662447971907
1984,ARIZONA,10.752575081086224,5.715110638473386,-2.352463221967538,2.7816474264136914
1984,ARKANSAS,7.8390779181293,3.206389958636424,-2.673933383493299,3.580353779214396
1984,CALIFORNIA,8.028589210434745,3.578332497604997,0.028615602350368086,3.291988799461687
1984,COLORADO,5.731263809044762,1.313465489181187,2.0347883610486894,4.341410276621471
1984,CONNECTICUT,9.180514383894378,4.997704085032462,2.5569053716384404,2.334568009551896
1984,DELAWARE,7.411800080181741,7.925290257445727,1.1217929240754154,2.047042919067077
1984,DISTRICT OF COLUMBIA,2.0809877014968947,0.9777440915041513,-2.9356292831696273,-1.751165801122756
1984,FLORIDA,8.429582883321673,5.838765285381076,2.438301367905993,4.857145761453241
1984,GEORGIA,9.732293833846706,6.506886723608529,1.5168613140726706,4.236533300437761
1984,HAWAII,3.7484157841599863,3.963226262701447,0.8006423147342234,-0.39723616306489573
1984,IDAHO,1.7786561264822254,4.881732525293381,-4.056192514536205,0.4800633586158565
1984,ILLINOIS,7.1878585768153425,1.080412485205584,-3.506831889344475,1.3197744792859734
1984,INDIANA,9.088584814174538,2.364332288516624,-5.486023813963914,1.2192998928088006
1984,IOWA,5.476422426796246,-4.065012175496752,-6.6241283928346935,3.0324473103634064
1984,KANSAS,4.483886034563289,0.6273932078810329,-0.8666661446179447,2.898974048028191
1984,KENTUCKY,7.5603594384573425,0.13849861101105088,-3.5531623129142487,2.7021883316469264
1984,LOUISIANA,5.942806817593116,-1.137611446178055,-3.795153177869226,2.682809598737168
1984,MAINE,7.067731613785688,4.386470375261986,1.1653700914137088,0.6892897770067075
1984,MARYLAND,6.755576644472816,4.849465757455795,-0.9182375293274925,1.9541650716117243
1984,MASSACHUSETTS,9.31154259721103,5.855281731845796,0.44617670782496344,2.439054302128163
1984,MICHIGAN,8.123858894532399,6.847759218966298,-6.244249994620644,-0.04443208762616724
1984,MINNESOTA,10.451265354706308,3.3476398731858703,-1.531617087934678,2.795927079291949
1984,MISSISSIPPI,6.841773972119558,2.125218894775349,-3.16475225315872,3.4361314172481006
1984,MISSOURI,8.57937611359394,3.2233313374841366,-1.249529669093774,1.2750935906133076
1984,MONTANA,0.6107851804227238,0.10794140323824308,-4.421518054532059,3.912664220696649
1984,NEBRASKA,7.515107064844773,-2.4138639249172256,-2.4100483467359934,5.678543232539779
1984,NEVADA,4.614561523976413,3.2356407568963963,-1.1261706757023981,4.17444980491759
1984,NEW HAMPSHIRE,12.068796336676858,6.365460217323227,2.0171308236518914,4.122987472129491
1984,NEW JERSEY,7.966898076283702,7.006869156181139,0.22681493271117237,2.6325659232097287
1984,NEW MEXICO,4.839983166670003,1.6744364211315643,-1.641341771847482,1.4298259165602678
1984,NEW YORK,6.0332089349977025,2.1137474180532356,0.731542984295297,1.8375072006200144
1984,NORTH CAROLINA,8.593553470516134,5.066366825098889,-2.0845560207981895,3.514701649014751
1984,NORTH DAKOTA,2.3046054464278987,-1.9409376153562197,-3.830451915225963,15.040308418619475
1984,OHIO,8.714750888543632,4.042697355698599,-5.017676068976861,1.047636454140477
1984,OKLAHOMA,4.721301738151817,-4.75878557626176,2.905508915987509,5.842617560119789
1984,OREGON,6.177497465930837,1.1115223341562341,-5.300030811893386,-2.6533741756243567
1984,PENNSYLVANIA,5.480904910476481,2.75066663330521,-3.823160355466937,0.4311008933183924
1984,RHODE ISLAND,6.997762769764404,2.872835267421614,-0.3009280405822934,2.433533329663673
1984,SOUTH CAROLINA,9.618238230136233,6.4214006247914845,-1.728125707881778,3.4469149607496696
1984,SOUTH DAKOTA,7.781655161873702,-0.6025774109425952,-2.880209827466085,5.98716044234795
1984,TENNESSEE,7.274297427665921,5.455267622155158,-2.252666310271678,2.8097418310325084
1984,TEXAS,5.8228185183026415,-0.15200402034223348,0.36171676362182215,6.314204303663806
1984,UTAH,7.753278371050731,3.436829303190736,-0.6164368952057298,3.69482915608379
1984,VERMONT,5.039651244304255,4.013762774429508,-0.42090216010165493,3.2131147540983562
1984,VIRGINIA,6.865363176673878,4.601983400382248,0.3467731322490675,3.1715996800207424
1984,WASHINGTON,3.642529018244911,1.6271708394314466,0.03512974360113663,3.077628623328965
1984,WEST VIRGINIA,5.297797495506762,-2.673383376144034,-2.799391918331451,-1.2150693225783327
1984,WISCONSIN,6.053056016947123,1.9513392309322697,-2.067014082352814,0.3055201842764532
1984,WYOMING,4.804273325503194,-5.282006735853939,-6.348209570839347,3.445119475591829
1988,ALABAMA,4.892504490898064,5.5005499074546105,1.0253206921829294,4.7103207371022915
1988,ALASKA,-5.696789882609554,18.306032824721118,-16.34723032265417,11.09753963141018
1988,ARIZONA,4.7761221308671775,4.152231256628514,5.902800277047016,6.369451141247584
1988,ARKANSAS,3.8310157340133877,3.456944378763027,1.9635361415512254,0.995255683056051
1988,CALIFORNIA,5.662105473207957,6.169334820485117,3.783535250528769,5.122545267610534
1988,COLORADO,3.069770121288218,1.8049994562886695,-0.6220464027431705,2.562786973236375
1988,CONNECTICUT,6.092305169574308,7.62802903577291,4.601529830081308,5.339519546814064
1988,DELAWARE,4.592937964534705,7.097120236190957,2.8098907373157234,6.229037391849812
1988,DISTRICT OF COLUMBIA,4.3625897693674975,2.8376621677034253,0.6252921797874178,1.5220723892369836
1988,FLORIDA,6.209724966891139,6.452850317385295,4.438919767332239,5.409126202383696
