year,state,avg_inc_mt_2,avg_inc_mt_1
1984,ALABAMA,16.997411561691123,16.526329018474307
1984,ALASKA,1.4260708401977018,25.25956019861997
1984,ARIZONA,17.224665649403104,15.20008272153861
1984,ARKANSAS,16.83289007092199,18.7837304199026
1984,CALIFORNIA,15.239614297107229,15.470908329845123
1984,COLORADO,13.605442176870742,20.065341682548322
1984,CONNECTICUT,18.107272482860594,20.32349373230893
1984,DELAWARE,15.138910689059792,17.883245443611795
1984,FLORIDA,16.72249204488361,17.713159191720052
1984,GEORGIA,20.249951181409887,19.065333643338754
1984,HAWAII,13.608574232017512,11.645740288194162
1984,IDAHO,14.43630157614697,12.477416440831067
1984,ILLINOIS,14.880721112751583,17.52511415525113
1984,INDIANA,16.601160396780834,14.105712760277633
1984,IOWA,14.696485623003186,17.28947642344123
1984,KANSAS,13.215426185212475,21.22084367245658
1984,KENTUCKY,15.607116845281443,17.89744847890089
1984,LOUISIANA,9.834834834834826,20.42038648434852
1984,MAINE,17.09854731056144,18.92144274541847
1984,MARYLAND,16.61673364998173,19.28004881025016
1984,MASSACHUSETTS,20.94828248674403,21.79895170348185
1984,MICHIGAN,18.37551091399252,12.404692082111435
1984,MINNESOTA,18.89809444904722,17.389612915775142
1984,MISSISSIPPI,13.329362715902327,17.15043259838125
1984,MISSOURI,17.26328977984608,19.252934898612594
1984,MONTANA,8.909784936225673,17.490702253336245
1984,NEBRASKA,14.66597973553152,24.07841466013212
1984,NEVADA,10.619800644532717,11.647560873567064
1984,NEW HAMPSHIRE,20.4435714870284,21.715310289869507
1984,NEW JERSEY,18.14453401216236,19.83730192356581
1984,NEW MEXICO,13.071386889710169,18.908291893142138
1984,NEW YORK,18.173632475425826,21.143532406144907
1984,NORTH CAROLINA,20.168152350081048,18.255869669381887
1984,NORTH DAKOTA,11.56090117583699,38.34595802806409
1984,OHIO,17.067583046964497,14.359129383313185
1984,OKLAHOMA,7.172251616696057,23.65770069581472
1984,OREGON,15.186500888099474,10.02540551104163
1984,PENNSYLVANIA,13.458133063496081,18.188160255132544
1984,RHODE ISLAND,17.77006434134778,19.33723984643363
1984,SOUTH CAROLINA,18.658798283261802,17.011927181418706
1984,SOUTH DAKOTA,16.87518471086593,22.759704921997816
1984,TENNESSEE,17.687706270627057,17.14389271475172
1984,TEXAS,11.931912080647834,21.226084343383754
1984,UTAH,13.600165477298587,15.574946210853447
1984,VERMONT,16.36792452830189,20.591581342434594
1984,VIRGINIA,16.80893498205025,18.624018169773816
1984,WASHINGTON,12.561672801315682,14.725965858041334
1984,WEST VIRGINIA,11.609840310746655,15.69092497815503
1984,WISCONSIN,15.351219935747151,14.779748853896745
1984,WYOMING,3.9415276289606505,12.521529452290725
1988,ALABAMA,12.959175325206584,12.67514749262537
1988,ALASKA,0.43775515223059003,3.197807217907722
1988,ARIZONA,8.898391366320514,12.81010719754978
1988,ARKANSAS,11.223095319439702,11.049985772550496
1988,CALIFORNIA,11.468046395269504,10.651148159798684
1988,COLORADO,8.907407407407408,7.784431137724557
1988,CONNECTICUT,18.547742708749503,13.954017755520143
1988,DELAWARE,14.676119493425443,12.48721968509303
1988,FLORIDA,12.754644458680332,11.987947485472406
1988,GEORGIA,13.11219788787299,14.558298148749603
1988,HAWAII,14.247846255798535,10.277703959606699
1988,IDAHO,13.572416036431644,7.877884024914472
1988,ILLINOIS,14.04398289554063,10.72781385281385
1988,INDIANA,12.820882607441586,11.300160513643664
1988,IOWA,9.228484548476068,9.416589291241095
1988,KANSAS,8.819851247284927,9.879221812396043
1988,KENTUCKY,15.139075067024121,7.425074250742503
1988,LOUISIANA,8.855876559422192,4.101161995898828
1988,MAINE,16.21307787212425,15.498742665549026
1988,MARYLAND,14.278639815120497,13.879315746600662
1988,MASSACHUSETTS,17.661965623622745,15.331342524938062
1988,MICHIGAN,9.812363449428085,14.325595063179541
1988,MINNESOTA,10.158750078433831,11.051494669361016
1988,MISSISSIPPI,13.732326166957186,8.53479083455959
1988,MISSOURI,10.577449370552827,11.546973975425479
1988,MONTANA,7.3374588121835504,6.368610018806642
1988,NEBRASKA,12.061058251762603,9.397933203534524
1988,NEVADA,13.204538485127259,10.467479674796753
1988,NEW HAMPSHIRE,15.309408114279034,16.06305632941496
1988,NEW JERSEY,17.02465347582267,13.131434043571932
1988,NEW MEXICO,8.085274378207652,8.936865645965941
1988,NEW YORK,16.254535305609828,13.753254174868236
1988,NORTH CAROLINA,15.174000148400978,13.60532748883081
1988,NORTH DAKOTA,-2.475845410628019,6.589427950760318
1988,OHIO,11.759528806445063,11.177178985398161
1988,OKLAHOMA,6.7748869616781615,5.720554815453327
1988,OREGON,12.11823351821948,9.814957594448725
1988,PENNSYLVANIA,14.097531767680138,11.713117800074313
1988,RHODE ISLAND,15.773828347353103,13.658256056358287
1988,SOUTH CAROLINA,14.219924052678357,11.917894927208605
1988,SOUTH DAKOTA,9.841869247108814,7.139244774106546
1988,TENNESSEE,15.01006347731848,13.206555078433091
1988,TEXAS,7.395854994108264,6.503764949062463
1988,UTAH,9.66564340828009,9.73233794610342
1988,VERMONT,15.13185728388098,14.973652209160914
1988,VIRGINIA,13.83241841105145,13.215407731184259
1988,WASHINGTON,10.65527423509456,10.742364155012861
1988,WEST VIRGINIA,12.412571934484284,9.193735498839906
1988,WISCONSIN,10.658413821248814,10.666164847572457
1988,WYOMING,4.650031278237288,5.93476179957293
1992,ALABAMA,10.856818611689057,14.876511914246393
1992,ALASKA,4.424245035109631,13.677766895200794
1992,ARIZONA,5.691854759568193,7.97182747444527
